MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59655.260862,-17.941,0.55,-242,133,o,0,1.3,95.28345,54.06131,3468.58,6513.4,2.36,2.01,30.7,-0.434,16.89,16.96,02a59655o0107o
59655.264063,-18.694,0.996,-121,120,o,0,1.67,95.28345,54.06131,3451.32,6474.54,2.4,2.04,29.8,-0.447,16.92,16.92,02a59655o0114o
59655.269551,-19.756,1.164,-46,53,o,0,0.89,95.28345,54.06131,3507.69,6551.36,2.32,1.98,27.6,-0.437,18.04,18.19,02a59655o0126o
59655.280538,19.059,2.323,86,201,o,0,1.3,95.28345,54.06131,3526.0,6431.23,2.32,1.97,30.6,-0.431,16.35,16.18,02a59655o0150o
59657.315144,-19.492,0.356,-58,21,o,0,1.5,95.28345,54.06131,5148.57,4191.12,2.71,2.63,-10.5,-0.479,18.64,19.32,01a59657o0233o
59657.318332,22.008,3.636,6,21,o,0,1.63,95.28345,54.06131,5170.24,4230.09,2.69,2.61,-34.1,-0.479,18.66,19.31,01a59657o0240o
59657.328366,-20.839,1.505,-17,25,o,0,1.15,95.28345,54.06131,5113.94,4156.26,2.82,2.65,24.9,-0.464,18.59,19.26,01a59657o0262o
59657.33386,21.36,2.672,10,28,o,0,0.99,95.28345,54.06131,5097.61,4271.84,2.76,2.63,-35.8,-0.477,18.58,19.24,01a59657o0274o
59659.298982,21.851,1.914,7,13,o,0,1.24,95.28345,54.06131,922.14,742.09,2.32,1.79,-59.2,-0.482,19.42,20.6,02a59659o0190o
59659.303128,-22.304,2.683,-4,12,o,0,1.41,95.28345,54.06131,900.01,703.76,2.16,1.78,-62.9,-0.488,19.4,20.43,02a59659o0199o
59659.30907,22.908,4.952,2,12,o,0,1.48,95.28345,54.06131,962.62,777.95,2.29,1.9,-64.1,-0.484,19.25,20.19,02a59659o0212o
59659.320105,22.358,3.3,4,14,o,0,1.64,95.28345,54.06131,983.42,655.74,2.11,1.78,-65.8,-0.49,19.13,19.9,02a59659o0236o
59661.257019,-20.079,0.305,-34,10,o,0,1.99,95.28345,54.06131,5133.9,4183.0,2.67,2.57,-45.3,-0.496,19.29,20.57,01a59661o0074o
59661.260219,-21.393,1.421,-10,14,o,0,1.13,95.28345,54.06131,5155.96,4222.44,2.68,2.63,8.5,-0.484,19.29,20.57,01a59661o0081o
59661.267108,-22.105,2.567,-5,13,o,0,1.03,95.28345,54.06131,5099.03,4146.37,2.69,2.58,-37.4,-0.492,19.3,20.55,01a59661o0096o
59661.277186,21.881,2.364,6,15,o,0,0.96,95.28345,54.06131,5085.69,4265.55,2.77,2.64,-40.7,-0.483,19.17,20.49,01a59661o0118o
59663.24567,19.89,0.296,40,12,c,0,1.53,95.28345,54.06131,926.58,747.22,2.71,2.26,-61.3,-0.444,19.43,21.29,02a59663o0068c
59663.248964,-21.423,1.316,-10,13,c,0,1.07,95.28345,54.06131,904.9,708.7,2.86,2.38,-58.6,-0.43,19.4,21.3,02a59663o0075c
59663.255374,-20.709,0.664,-19,12,c,0,1.18,95.28345,54.06131,966.56,782.08,2.86,2.43,-62.7,-0.434,19.35,21.28,02a59663o0089c
59663.265479,-23.449,7.667,-2,12,c,0,1.3,95.28345,54.06131,987.01,662.91,2.84,2.32,-62.1,-0.432,19.37,21.28,02a59663o0111c
59665.297126,21.867,2.838,6,18,o,0,1.26,95.28345,54.06131,6116.81,8224.91,2.69,2.68,46.1,-0.468,19.07,20.04,01a59665o0160o
59665.300311,-22.066,3.167,-5,17,o,0,1.5,95.28345,54.06131,6138.61,8263.68,2.72,2.71,29.6,-0.465,19.05,20.06,01a59665o0167o
59665.308069,-19.773,0.341,-45,15,o,0,1.4,95.28345,54.06131,6077.24,8190.52,2.71,2.69,-57.4,-0.471,19.1,20.07,01a59665o0184o
59665.318107,-22.961,7.769,-2,18,o,0,1.01,95.28345,54.06131,6060.31,8309.4,2.77,2.7,48.7,-0.46,19.1,20.1,01a59665o0206o
59671.2375,19.235,0.184,73,14,c,0,1.4,95.28345,54.06131,2043.5,4311.92,2.74,2.34,33.3,-0.393,19.25,21.11,02a59671o0019c
