MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59658.437776,20.219,1.103,30,33,o,0,0.87,151.13493,-16.77364,2927.1,9273.91,3.02,2.81,-46.4,-0.458,18.5,19.23,01a59658o0462o
59658.441898,-20.278,0.972,-28,27,o,0,1.34,151.13493,-16.77364,2947.45,9312.42,2.95,2.72,-43.1,-0.464,18.54,19.22,01a59658o0471o
59658.448801,20.771,1.988,18,36,o,0,1.3,151.13493,-16.77364,2889.6,9237.2,3.03,2.87,-48.0,-0.455,18.46,19.19,01a59658o0486o
59658.458898,19.613,0.628,52,33,o,0,1.01,151.13493,-16.77364,2872.9,9355.53,3.16,2.94,-49.0,-0.443,18.43,19.17,01a59658o0508o
59660.415839,19.952,0.476,38,18,o,0,1.33,151.13493,-16.77364,9791.96,5817.87,2.26,2.07,34.4,-0.442,19.17,19.95,02a59660o0396o
59660.419529,-20.768,0.896,-18,16,o,0,1.35,151.13493,-16.77364,9773.28,5780.5,2.24,2.0,38.7,-0.441,19.18,19.93,02a59660o0404o
59660.425495,19.861,0.392,41,16,o,0,1.6,151.13493,-16.77364,9832.87,5857.74,2.26,2.1,40.8,-0.443,19.13,19.91,02a59660o0417o
59660.435318,-20.663,1.024,-20,20,o,0,0.85,151.13493,-16.77364,9853.6,5743.21,2.22,2.06,40.0,-0.44,19.08,19.84,02a59660o0438o
59662.450699,20.145,0.541,32,17,o,0,1.12,151.13493,-16.77364,2923.93,9269.94,3.01,2.69,-39.2,-0.458,19.18,20.48,01a59662o0159o
59662.456082,-21.192,1.309,-12,16,o,0,1.37,151.13493,-16.77364,2944.0,9309.69,3.26,2.78,-39.6,-0.447,19.07,20.39,01a59662o0170o
59662.460322,21.717,2.4,8,18,o,0,1.3,151.13493,-16.77364,2885.52,9233.17,3.18,2.75,-39.9,-0.446,19.05,20.32,01a59662o0179o
59662.470089,-20.603,0.989,-21,21,o,0,0.97,151.13493,-16.77364,2868.02,9351.93,3.23,2.77,-39.6,-0.444,19.02,20.25,01a59662o0199o
59664.465559,24.09,14.5,1,12,c,0,1.61,151.13493,-16.77364,9788.36,5825.99,2.9,2.78,17.6,-0.391,19.3,21.39,02a59664o0304c
59664.470605,-20.329,0.555,-27,15,c,0,1.2,151.13493,-16.77364,9769.57,5787.64,2.89,2.75,17.1,-0.391,19.29,21.33,02a59664o0315c
59664.477457,20.043,0.395,35,14,c,0,1.08,151.13493,-16.77364,9828.62,5865.01,2.9,2.7,20.0,-0.387,19.21,21.27,02a59664o0328c
59664.488448,-20.715,1.062,-19,20,c,0,1.05,151.13493,-16.77364,9848.03,5749.47,3.36,3.19,1.8,-0.386,19.05,21.24,02a59664o0352c
59666.370578,20.432,0.547,24,13,o,0,1.39,151.13493,-16.77364,4912.8,3103.09,2.78,2.67,-40.5,-0.461,19.33,20.67,01a59666o0047o
59666.374698,-21.71,1.744,-8,13,o,0,1.12,151.13493,-16.77364,4933.77,3141.73,2.77,2.64,-39.3,-0.458,19.31,20.66,01a59666o0056o
59666.382037,20.415,0.517,25,13,o,0,1.5,151.13493,-16.77364,4874.86,3066.19,2.71,2.6,-41.0,-0.467,19.33,20.65,01a59666o0072o
59666.394104,-25.676,74.0,0,14,o,0,1.02,151.13493,-16.77364,4860.59,3184.61,2.92,2.8,-41.6,-0.453,19.25,20.67,01a59666o0098o
59668.304236,21.177,0.9,12,11,c,0,1.77,151.13493,-16.77364,4840.37,1149.62,2.35,2.26,89.5,-0.425,19.2,21.23,02a59668o0196c
59668.306523,-20.936,1.085,-15,17,c,0,1.14,151.13493,-16.77364,4860.38,1188.27,2.33,2.25,78.3,-0.427,18.97,20.93,02a59668o0201c
59668.310634,-19.777,0.49,-45,22,c,0,0.85,151.13493,-16.77364,4801.74,1110.34,2.33,2.26,80.0,-0.431,18.55,20.51,02a59668o0210c
59668.317489,-20.053,1.58,-35,55,c,0,1.2,151.13493,-16.77364,4783.11,1227.63,2.32,2.24,77.5,-0.423,17.68,19.57,02a59668o0225c
59670.292169,20.131,0.479,32,15,o,0,0.95,151.13493,-16.77364,5611.32,7468.67,2.95,2.68,-20.5,-0.46,19.27,20.7,01a59670o0175o
59670.295378,21.498,1.44,9,13,o,0,1.27,151.13493,-16.77364,5592.19,7429.23,2.84,2.64,-45.6,-0.476,19.29,20.71,01a59670o0182o
59670.299023,20.806,0.732,17,13,o,0,1.48,151.13493,-16.77364,5652.49,7505.62,2.77,2.64,-36.2,-0.47,19.35,20.73,01a59670o0190o
59670.310445,23.561,8.375,1,11,o,0,1.52,151.13493,-16.77364,5671.35,7387.51,2.68,2.57,-42.8,-0.485,19.37,20.79,01a59670o0215o
