MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59653.434255,-21.517,3.857,-9,35,o,0,1.1,161.92586,54.41154,5711.75,9111.15,2.8,2.69,21.8,-0.482,18.53,19.19,01a59653o0081o
59653.437445,-21.228,2.954,-12,35,o,0,1.24,161.92586,54.41154,5732.39,9151.2,2.75,2.65,-25.4,-0.499,18.54,19.19,01a59653o0088o
59653.443827,20.829,2.141,17,36,o,0,0.94,161.92586,54.41154,5669.05,9073.76,2.82,2.64,-31.9,-0.499,18.54,19.19,01a59653o0102o
59653.479257,-21.838,6.258,-7,42,o,0,0.91,161.92586,54.41154,5659.9,9195.06,3.27,2.88,40.8,-0.414,18.44,19.18,01a59653o0178o
59655.367639,-20.611,2.5,-21,52,o,0,0.9,161.92586,54.41154,6757.66,3404.79,2.74,2.1,39.7,-0.413,17.98,18.2,02a59655o0336o
59655.369924,20.501,1.723,23,39,o,0,0.92,161.92586,54.41154,6778.08,3444.69,2.35,1.93,40.9,-0.433,18.42,18.45,02a59655o0341o
59655.375583,21.34,2.488,11,26,o,0,0.99,161.92586,54.41154,6721.94,3369.67,2.48,2.01,43.0,-0.426,18.51,18.68,02a59655o0350o
59655.420208,19.552,0.827,55,45,o,0,0.88,161.92586,54.41154,3895.83,7102.81,2.65,1.94,29.8,-0.377,18.15,18.12,02a59655o0366o
59657.428238,20.429,1.029,24,25,o,0,0.95,161.92586,54.41154,4743.19,3515.19,2.74,2.63,-37.7,-0.483,18.63,19.29,01a59657o0479o
59657.431892,-22.924,10.286,-2,25,o,0,1.14,161.92586,54.41154,4763.91,3553.9,2.74,2.63,-34.3,-0.486,18.63,19.29,01a59657o0487o
59657.437372,-22.891,9.286,-2,24,o,0,1.25,161.92586,54.41154,4706.26,3479.08,2.8,2.69,-31.2,-0.475,18.6,19.28,01a59657o0499o
59657.447935,20.976,1.612,15,24,o,0,1.16,161.92586,54.41154,4693.81,3596.94,2.73,2.6,-24.2,-0.484,18.63,19.26,01a59657o0522o
59659.428734,20.015,0.422,36,15,o,0,0.8,161.92586,54.41154,6994.01,1382.27,1.85,1.84,-73.8,-0.457,19.13,19.75,02a59659o0472o
59659.431942,21.317,1.183,11,13,o,0,1.41,161.92586,54.41154,6973.45,1341.1,1.88,1.83,59.5,-0.459,19.14,19.73,02a59659o0479o
59659.437434,21.241,1.292,12,15,o,0,1.22,161.92586,54.41154,7033.41,1420.97,1.87,1.83,40.6,-0.453,19.15,19.72,02a59659o0491o
59659.468274,21.749,2.583,7,19,o,0,0.95,161.92586,54.41154,7054.42,1300.86,2.04,1.9,48.4,-0.45,19.04,19.61,02a59659o0509o
59665.411446,-21.418,1.417,-10,14,o,0,0.85,161.92586,54.41154,2031.18,7590.62,2.68,2.47,-43.4,-0.497,19.37,20.7,01a59665o0410o
59665.414646,20.384,0.582,26,15,o,0,0.65,161.92586,54.41154,2053.91,7630.41,2.66,2.45,-43.2,-0.495,19.32,20.72,01a59665o0417o
59665.421048,23.382,8.6,2,14,o,0,1.04,161.92586,54.41154,1993.49,7553.12,2.66,2.46,-42.6,-0.495,19.38,20.71,01a59665o0431o
59665.431579,-22.276,3.185,-4,14,o,0,0.96,161.92586,54.41154,1980.3,7671.32,2.69,2.52,-41.5,-0.479,19.35,20.71,01a59665o0454o
59671.366155,19.945,0.26,38,10,c,0,0.89,161.92586,54.41154,4231.23,4957.24,2.6,2.35,31.6,-0.401,19.6,21.71,02a59671o0237c
59671.369384,20.659,0.519,20,10,c,0,1.11,161.92586,54.41154,4213.17,4918.92,2.67,2.35,29.7,-0.4,19.59,21.71,02a59671o0244c
59671.375793,19.99,0.325,37,12,c,0,0.92,161.92586,54.41154,4268.83,4993.36,2.73,2.4,29.5,-0.395,19.54,21.71,02a59671o0258c
59671.407026,20.8,0.519,17,9,c,0,1.39,161.92586,54.41154,4278.53,4874.24,2.82,2.45,33.0,-0.394,19.5,21.62,02a59671o0325c
