MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59653.452496,21.787,4.179,7,29,o,0,1.29,178.85392,54.5678,4493.24,8838.53,2.79,2.62,-29.4,-0.489,18.68,19.41,01a59653o0121o
59653.485184,21.737,3.39,7,25,o,0,1.45,178.85392,54.5678,4522.45,8879.63,2.79,2.6,-31.0,-0.492,18.66,19.39,01a59653o0191o
59653.488384,20.872,1.483,16,24,o,0,1.4,178.85392,54.5678,4460.74,8804.49,2.82,2.65,-29.4,-0.483,18.65,19.46,01a59653o0198o
59653.516908,21.641,3.952,8,32,o,0,1.12,178.85392,54.5678,4449.75,8923.94,2.88,2.74,-21.3,-0.467,18.64,19.45,01a59653o0259o
59655.372209,21.853,4.679,7,31,o,0,1.18,178.85392,54.5678,6952.51,3097.02,2.27,1.99,47.4,-0.426,18.29,18.32,02a59655o0346o
59655.376496,-21.77,5.018,-7,36,o,0,0.57,178.85392,54.5678,6971.38,3136.59,2.41,2.02,42.9,-0.429,18.42,18.6,02a59655o0352o
59655.425448,-19.879,0.848,-41,34,o,0,1.29,178.85392,54.5678,6926.42,3064.05,2.46,2.01,40.1,-0.428,18.12,18.22,02a59655o0377o
59655.429101,-19.302,0.691,-69,48,o,0,0.95,178.85392,54.5678,6909.62,3183.25,2.51,2.03,38.4,-0.416,17.86,17.8,02a59655o0385o
59657.452966,-20.309,0.878,-27,24,o,0,1.1,178.85392,54.5678,4937.86,3212.93,2.7,2.66,20.3,-0.483,18.59,19.26,01a59657o0533o
59657.456614,22.493,6.429,4,24,o,0,1.09,178.85392,54.5678,4959.1,3251.68,2.69,2.64,-27.4,-0.483,18.63,19.25,01a59657o0541o
59657.462093,20.609,1.171,21,24,o,0,1.3,178.85392,54.5678,4900.15,3173.98,2.74,2.67,-32.6,-0.48,18.61,19.25,01a59657o0553o
59657.47395,-21.655,2.977,-8,24,o,0,1.51,178.85392,54.5678,4890.12,3293.87,2.79,2.72,-8.5,-0.474,18.58,19.24,01a59657o0579o
59659.488457,-21.046,1.13,-14,16,o,0,1.18,178.85392,54.5678,8184.43,1719.07,1.86,1.82,36.8,-0.469,19.07,19.63,02a59659o0553o
59659.492114,19.598,0.329,53,17,o,0,0.85,178.85392,54.5678,8163.89,1679.1,1.88,1.83,31.6,-0.458,19.05,19.62,02a59659o0561o
59659.498105,21.099,1.299,13,17,o,0,1.2,178.85392,54.5678,8224.15,1756.67,1.85,1.83,-0.6,-0.458,19.08,19.58,02a59659o0574o
59659.510075,-21.59,1.884,-8,16,o,0,1.53,178.85392,54.5678,8243.72,1637.19,1.94,1.9,36.8,-0.464,18.97,19.54,02a59659o0600o
59665.442105,-20.327,0.453,-27,12,o,0,1.12,178.85392,54.5678,1323.19,7285.23,2.71,2.58,-49.5,-0.468,19.35,20.76,01a59665o0477o
59665.445757,-24.122,16.0,-1,13,o,0,1.15,178.85392,54.5678,1343.61,7323.28,2.7,2.45,-46.1,-0.496,19.36,20.76,01a59665o0485o
59665.451267,-20.42,0.554,-25,14,o,0,1.07,178.85392,54.5678,1282.24,7244.89,2.76,2.47,-45.6,-0.493,19.36,20.78,01a59665o0497o
59665.463618,-20.458,0.558,-24,13,o,0,1.16,178.85392,54.5678,1270.87,7364.15,2.69,2.46,-46.0,-0.49,19.41,20.8,01a59665o0524o
59671.415273,19.988,0.308,37,11,c,0,0.96,178.85392,54.5678,4463.76,5252.89,3.16,2.53,33.7,-0.369,19.45,21.67,02a59671o0343c
59671.418488,20.586,0.482,21,10,c,0,1.28,178.85392,54.5678,4445.23,5214.11,2.78,2.34,32.1,-0.389,19.57,21.67,02a59671o0350c
59671.42397,20.51,0.48,23,11,c,0,1.34,178.85392,54.5678,4504.19,5291.99,2.74,2.36,31.0,-0.393,19.55,21.64,02a59671o0362c
59671.458132,20.588,0.508,21,11,c,0,1.24,178.85392,54.5678,4519.44,5174.27,2.86,2.54,34.3,-0.388,19.43,21.55,02a59671o0435c
59673.518374,-20.43,2.682,-24,66,o,0,1.83,178.85392,54.5678,1192.04,3404.04,2.92,2.71,-56.4,-0.495,17.4,18.93,01a59673o0215o
59675.411741,20.362,1.154,26,30,c,0,1.21,178.85392,54.5678,4238.11,1300.02,2.46,2.24,50.3,-0.423,18.36,20.33,02a59675o0428c
59677.416559,18.914,0.173,99,17,o,0,1.13,178.85392,54.5678,1157.61,3393.88,2.94,2.77,-54.9,-0.492,19.16,20.43,01a59677o0361o
59677.420205,19.139,0.234,80,19,o,0,1.01,178.85392,54.5678,1180.14,3433.25,3.07,2.88,-54.0,-0.481,19.1,20.44,01a59677o0369o
59677.427506,19.045,0.206,88,18,o,0,1.18,178.85392,54.5678,1122.87,3355.41,2.94,2.8,-41.2,-0.494,19.14,20.43,01a59677o0385o
59677.461319,19.495,0.276,58,16,o,0,1.09,178.85392,54.5678,1117.38,3475.04,3.0,2.9,-67.1,-0.483,19.18,20.63,01a59677o0458o
59679.342327,18.579,0.223,134,30,c,0,1.11,178.85392,54.5678,6419.93,9211.03,2.92,2.52,39.7,-0.389,18.7,20.36,02a59679o0245c
59679.344155,19.134,0.388,81,31,c,0,0.89,178.85392,54.5678,6441.11,9250.14,2.98,2.5,40.3,-0.384,18.66,20.37,02a59679o0249c
59679.346896,18.652,0.239,126,30,c,0,1.39,178.85392,54.5678,6381.82,9173.43,2.97,2.57,40.4,-0.386,18.66,20.39,02a59679o0255c
59679.352381,19.09,0.342,84,29,c,0,1.1,178.85392,54.5678,6358.79,9290.13,3.28,2.55,40.2,-0.368,18.64,20.39,02a59679o0267c
59681.406092,18.825,0.265,107,28,o,0,1.19,178.85392,54.5678,7272.06,6881.6,2.89,2.83,-31.6,-0.467,18.67,19.54,01a59681o0391o
59681.409294,18.814,0.277,108,30,o,0,1.23,178.85392,54.5678,7294.2,6919.05,2.9,2.8,-45.2,-0.48,18.68,19.55,01a59681o0398o
59681.415236,19.295,0.448,70,31,o,0,0.85,178.85392,54.5678,7234.02,6845.7,2.86,2.77,-32.5,-0.474,18.69,19.55,01a59681o0411o
59681.42528,18.725,0.24,117,28,o,0,1.35,178.85392,54.5678,7218.96,6963.99,2.85,2.79,-15.1,-0.476,18.68,19.52,01a59681o0433o
59683.416424,-20.916,15.757,-16,246,o,0,1.34,178.85392,54.5678,4718.42,9124.84,2.38,2.1,28.3,-0.424,17.38,17.34,02a59683o0399o
59683.419206,20.993,19.267,14,280,o,0,0.98,178.85392,54.5678,4700.48,9086.33,2.45,2.25,29.1,-0.417,17.19,17.17,02a59683o0405o
59683.425158,-18.579,2.508,-134,337,o,0,1.31,178.85392,54.5678,4754.17,9162.46,2.51,2.29,29.0,-0.465,16.89,16.84,02a59683o0418o
59683.438896,-18.171,2.155,-196,422,o,0,1.53,178.85392,54.5678,4777.89,9045.61,2.41,2.14,25.3,-0.423,16.66,16.53,02a59683o0448o
59685.385043,-19.615,33.64,-52,1742,o,0,0.81,178.85392,54.5678,7268.52,6881.08,2.86,2.79,28.6,-0.462,15.54,15.58,01a59685o0332o
59687.32615,19.741,0.558,46,26,o,0,0.54,178.85392,54.5678,5869.24,1460.06,1.95,1.89,-84.9,-0.44,18.84,19.22,02a59687o0219o
59687.32798,19.037,0.217,88,19,o,0,1.3,178.85392,54.5678,5887.22,1501.65,1.99,1.89,53.8,-0.433,18.78,19.23,02a59687o0223o
59687.33072,18.453,0.109,151,16,o,0,1.64,178.85392,54.5678,5831.73,1423.46,2.05,1.88,50.0,-0.43,18.76,19.22,02a59687o0229o
59687.35665,19.197,0.335,76,26,o,0,1.65,178.85392,54.5678,4783.38,9047.15,2.22,2.03,32.0,-0.415,18.81,19.21,02a59687o0285o
59689.419262,18.72,0.195,118,23,o,0,1.23,178.85392,54.5678,2010.59,1170.57,2.74,2.65,-46.1,-0.534,18.82,19.74,01a59689o0263o
59689.422452,18.741,0.172,116,20,o,0,1.68,178.85392,54.5678,2032.49,1210.68,2.7,2.62,-58.2,-0.541,18.83,19.74,01a59689o0270o
59689.427916,18.677,0.184,123,23,o,0,1.29,178.85392,54.5678,1975.03,1132.2,2.75,2.68,-58.3,-0.531,18.78,19.71,01a59689o0282o
59689.439372,18.676,0.244,123,30,o,0,0.98,178.85392,54.5678,1965.05,1249.9,2.99,2.87,-65.9,-0.505,18.61,19.53,01a59689o0307o
59693.364403,19.054,0.207,87,18,o,0,1.54,178.85392,54.5678,1997.16,1163.39,2.74,2.64,-55.2,-0.533,19.0,20.35,01a59693o0312o
59693.368053,19.239,0.249,73,18,o,0,0.64,178.85392,54.5678,2018.58,1203.56,2.69,2.63,-58.1,-0.535,19.11,20.45,01a59693o0320o
59693.402972,19.117,0.215,82,18,o,0,1.17,178.85392,54.5678,1969.2,1127.26,2.77,2.65,-55.3,-0.526,18.78,20.06,01a59693o0395o
