MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59657.428238,-19.976,0.803,-37,30,o,0,0.8,165.05012,54.05355,8307.68,4050.53,2.79,2.65,-54.6,-0.5,18.63,19.29,01a59657o0479o
59657.431892,23.356,15.889,2,26,o,0,1.05,165.05012,54.05355,8328.47,4088.33,2.8,2.67,-52.1,-0.495,18.63,19.29,01a59657o0487o
59657.437372,20.558,1.33,22,29,o,0,1.29,165.05012,54.05355,8270.25,4016.2,2.84,2.72,-49.4,-0.495,18.6,19.28,01a59657o0499o
59657.447935,19.749,0.588,46,27,o,0,1.29,165.05012,54.05355,8257.31,4135.15,2.77,2.65,-39.2,-0.495,18.63,19.26,01a59657o0522o
59659.428734,20.722,0.781,19,15,o,0,1.47,165.05012,54.05355,3449.58,672.43,1.91,1.82,-78.5,-0.476,19.13,19.75,02a59659o0472o
59659.431942,21.848,2.453,7,16,o,0,1.09,165.05012,54.05355,3428.58,631.69,1.87,1.77,73.2,-0.473,19.14,19.73,02a59659o0479o
59659.437434,22.728,4.667,3,14,o,0,1.8,165.05012,54.05355,3489.76,709.27,1.88,1.8,74.9,-0.472,19.15,19.72,02a59659o0491o
59659.468274,22.534,4.108,4,14,o,0,1.42,165.05012,54.05355,3510.63,586.51,2.01,1.8,56.7,-0.46,19.04,19.61,02a59659o0509o
59665.411446,-22.273,2.962,-4,13,o,0,1.03,165.05012,54.05355,5579.0,8248.16,2.67,2.63,-21.9,-0.478,19.37,20.7,01a59665o0410o
59665.414646,20.401,0.432,25,11,o,0,1.93,165.05012,54.05355,5601.89,8287.11,2.67,2.62,-10.3,-0.476,19.32,20.72,01a59665o0417o
59665.421048,-21.69,1.467,-8,11,o,0,1.47,165.05012,54.05355,5540.99,8212.41,2.67,2.62,-8.8,-0.472,19.38,20.71,01a59665o0431o
59665.431579,20.69,0.694,19,13,o,0,1.01,165.05012,54.05355,5528.08,8331.62,2.77,2.7,18.5,-0.457,19.35,20.71,01a59665o0454o
