MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59655.444398,-20.462,3.069,-24,73,o,0,1.37,222.32803,20.28757,7250.33,6524.0,3.13,3.08,-83.5,-0.428,17.5,18.01,01a59655o0462o
59655.461445,18.478,1.54,148,227,o,0,1.15,222.32803,20.28757,7294.16,6558.63,3.39,3.24,-65.5,-0.446,16.56,17.04,01a59655o0499o
59655.470598,19.277,0.608,71,43,o,0,1.55,222.32803,20.28757,7313.19,6435.35,3.14,3.06,-63.4,-0.447,18.31,18.96,01a59655o0518o
59656.526689,-20.215,2.712,-30,81,o,0,0.95,222.32803,20.28757,7617.99,1979.69,2.8,2.66,-66.5,-0.503,17.56,17.84,01a59656o0591o
59656.532798,22.227,17.773,5,83,o,0,0.95,222.32803,20.28757,7635.44,1859.47,2.71,2.62,-70.0,-0.517,17.49,17.63,01a59656o0604o
59656.645775,-19.028,0.703,-89,62,o,0,1.04,222.32803,20.28757,2980.86,8679.93,2.82,2.65,-48.8,-0.473,18.38,18.85,01a59656o0841o
59657.465462,18.256,0.265,181,48,o,0,1.55,222.32803,20.28757,4902.88,8503.96,2.47,2.0,34.0,-0.422,18.5,18.69,02a59657o0551o
59657.46777,-21.447,5.164,-10,50,o,0,1.22,222.32803,20.28757,4922.66,8542.97,2.6,2.03,35.9,-0.413,18.5,18.7,02a59657o0556o
59657.470516,-19.067,0.527,-86,45,o,0,1.85,222.32803,20.28757,4863.39,8465.32,2.51,2.04,38.1,-0.416,18.51,18.71,02a59657o0562o
59657.477384,21.506,5.557,9,50,o,0,1.98,222.32803,20.28757,4844.17,8583.11,2.53,2.0,34.2,-0.408,18.45,18.6,02a59657o0577o
59658.504725,22.351,5.538,4,23,o,0,1.18,222.32803,20.28757,1403.6,4123.52,2.28,1.88,33.9,-0.433,18.66,18.95,02a59658o0638o
59658.507019,21.289,1.867,11,21,o,0,1.2,222.32803,20.28757,1422.04,4162.39,2.28,1.84,33.9,-0.435,18.66,18.96,02a59658o0643o
59658.510231,-23.868,21.2,-1,22,o,0,1.28,222.32803,20.28757,1363.61,4084.44,2.22,1.83,32.8,-0.449,18.7,18.96,02a59658o0650o
59658.520587,21.429,2.267,10,22,o,0,1.24,222.32803,20.28757,1349.13,4199.27,2.27,1.89,33.1,-0.443,18.65,19.07,02a59658o0672o
59659.490818,24.147,28.75,1,23,o,0,1.46,222.32803,20.28757,7578.43,1949.19,3.02,2.82,-58.1,-0.464,18.64,19.58,01a59659o0603o
59659.493096,21.489,2.773,9,26,o,0,0.82,222.32803,20.28757,7558.56,1910.44,3.04,2.94,-58.0,-0.463,18.67,19.58,01a59659o0608o
59659.498384,-19.025,0.287,-89,26,o,0,0.96,222.32803,20.28757,7617.57,1984.49,3.03,2.86,-58.0,-0.482,18.66,19.61,01a59659o0619o
59659.507115,-20.258,0.805,-29,23,o,0,1.24,222.32803,20.28757,7635.32,1863.37,3.19,2.98,-59.8,-0.467,18.68,19.66,01a59659o0638o
59660.478463,-20.213,0.622,-30,19,o,0,1.59,222.32803,20.28757,7579.61,1951.93,2.85,2.65,-53.5,-0.491,18.91,19.86,01a59660o0532o
59660.481246,-20.459,0.817,-24,19,o,0,1.47,222.32803,20.28757,7560.26,1912.51,2.8,2.63,-54.7,-0.509,18.92,19.88,01a59660o0538o
59660.487817,20.812,1.245,17,21,o,0,0.94,222.32803,20.28757,7618.89,1986.3,2.75,2.58,-51.2,-0.513,18.91,19.87,01a59660o0552o
59660.49294,-20.862,1.314,-16,22,o,0,1.2,222.32803,20.28757,7636.86,1868.58,2.81,2.63,-52.4,-0.498,18.89,19.85,01a59660o0563o
59660.595282,-22.462,8.16,-4,31,o,0,1.25,222.32803,20.28757,9186.5,6465.1,2.46,2.0,33.7,-0.428,18.4,18.64,02a59660o0786o
59660.598546,19.085,0.387,84,33,o,0,1.46,222.32803,20.28757,9166.26,6425.28,2.53,2.04,28.8,-0.415,18.23,18.5,02a59660o0793o
59660.604967,-18.895,0.775,-100,78,o,0,0.97,222.32803,20.28757,9225.08,6504.57,2.47,2.04,33.1,-0.435,17.57,17.64,02a59660o0807o
59660.61651,18.788,0.654,111,72,o,0,2.43,222.32803,20.28757,9245.8,6390.48,2.59,2.06,32.5,-0.415,17.58,17.72,02a59660o0831o
59661.506311,-16.838,2.458,-668,1642,o,0,0.88,222.32803,20.28757,1427.71,4160.42,2.28,1.83,32.4,-0.423,15.68,16.76,02a59661o0632o
59661.509511,17.697,1.22,303,370,o,0,1.35,222.32803,20.28757,1369.5,4082.03,2.21,1.9,29.1,-0.433,15.14,15.22,02a59661o0639o
59661.514543,-18.485,0.668,-147,98,o,0,1.23,222.32803,20.28757,1350.93,4198.39,2.28,1.9,32.1,-0.415,16.61,17.08,02a59661o0650o
59663.491576,20.237,0.382,29,11,o,0,1.76,222.32803,20.28757,7550.24,1903.91,2.71,2.64,-75.8,-0.478,19.37,20.97,01a59663o0534o
59663.497648,-21.385,1.2,-10,12,o,0,1.44,222.32803,20.28757,7610.67,1977.78,2.66,2.59,-54.3,-0.494,19.43,20.9,01a59663o0547o
59664.476053,-19.774,0.278,-45,12,o,0,1.38,222.32803,20.28757,5144.38,8088.36,2.74,2.65,-54.1,-0.471,19.36,20.81,01a59664o0575o
59664.477877,21.331,1.295,11,14,o,0,1.17,222.32803,20.28757,5124.67,8049.23,2.72,2.63,-53.9,-0.473,19.34,20.79,01a59664o0579o
59664.480615,-20.45,0.504,-24,12,o,0,1.34,222.32803,20.28757,5184.3,8125.57,2.74,2.62,-53.7,-0.474,19.37,20.81,01a59664o0585o
