MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59657.578196,-20.712,1.97,-19,37,o,0,1.09,243.95857,59.43337,1990.61,6777.5,2.93,2.63,-43.4,-0.488,18.66,19.36,01a59657o0804o
59657.581404,-20.19,1.193,-30,36,o,0,1.1,243.95857,59.43337,1973.04,6739.85,2.87,2.63,-43.8,-0.485,18.65,19.36,01a59657o0811o
59657.58416,-20.883,1.955,-16,32,o,0,1.3,243.95857,59.43337,2032.78,6812.53,2.83,2.69,-53.1,-0.476,18.64,19.37,01a59657o0817o
59657.594251,20.072,0.896,34,30,o,0,1.32,243.95857,59.43337,2049.43,6693.06,2.87,2.7,-45.2,-0.477,18.66,19.39,01a59657o0839o
59665.55936,-22.221,3.125,-5,15,o,0,1.03,243.95857,59.43337,9072.89,2572.8,2.96,2.75,-58.4,-0.476,19.22,20.67,01a59665o0732o
59665.561637,-20.575,0.602,-21,13,o,0,1.44,243.95857,59.43337,9052.68,2531.24,2.96,2.8,-57.2,-0.468,19.3,20.68,01a59665o0737o
59665.564828,-22.071,2.536,-5,14,o,0,1.44,243.95857,59.43337,9114.72,2610.16,2.96,2.73,-60.3,-0.471,19.28,20.66,01a59665o0744o
59665.570294,-20.099,0.435,-33,14,o,0,1.13,243.95857,59.43337,9132.31,2492.83,2.94,2.76,-53.8,-0.473,19.28,20.66,01a59665o0756o
59669.542222,-23.428,7.75,-2,12,o,0,1.54,243.95857,59.43337,9077.64,2573.02,2.91,2.74,-52.9,-0.466,19.38,20.9,01a59669o0068o
59669.544956,-21.077,0.904,-14,12,o,0,1.23,243.95857,59.43337,9056.47,2532.51,2.82,2.67,-55.9,-0.475,19.4,20.92,01a59669o0074o
59669.549051,-21.429,1.148,-10,11,o,0,1.15,243.95857,59.43337,9119.31,2609.81,2.78,2.66,-53.1,-0.477,19.4,20.95,01a59669o0083o
59669.554995,22.715,3.812,3,11,o,0,1.79,243.95857,59.43337,9140.27,2491.65,2.94,2.71,21.1,-0.441,19.35,20.94,01a59669o0096o
59671.509459,-21.794,1.889,-7,13,c,0,1.04,243.95857,59.43337,7993.62,6035.9,3.03,2.68,39.0,-0.382,19.38,21.48,02a59671o0545c
59671.511288,-22.898,4.615,-2,12,c,0,1.44,243.95857,59.43337,8013.82,6075.5,3.08,2.65,38.1,-0.378,19.39,21.48,02a59671o0549c
59671.514036,20.011,0.377,36,14,c,0,0.97,243.95857,59.43337,7955.88,6000.62,3.06,2.71,39.4,-0.381,19.32,21.47,02a59671o0555c
59671.51919,-21.392,1.245,-10,12,c,0,1.15,243.95857,59.43337,7936.39,6118.85,3.04,2.67,39.2,-0.378,19.36,21.46,02a59671o0566c
59675.50619,-23.502,12.8,-1,18,c,0,0.9,243.95857,59.43337,4714.6,9984.64,2.99,2.56,42.1,-0.361,18.92,21.05,02a59675o0632c
59675.509389,-20.744,1.0,-18,18,c,0,1.63,243.95857,59.43337,4736.54,10024.26,2.7,2.5,41.5,-0.385,18.82,20.85,02a59675o0639c
59675.514142,19.807,0.614,43,27,c,0,1.53,243.95857,59.43337,4670.98,9945.67,2.72,2.47,42.9,-0.39,18.54,20.52,02a59675o0649c
59675.519196,20.764,1.013,18,18,c,0,1.29,243.95857,59.43337,4652.66,10065.22,2.75,2.46,42.6,-0.388,19.14,21.18,02a59675o0660c
59677.499313,20.361,0.545,26,14,o,0,1.24,243.95857,59.43337,5781.48,6419.43,2.88,2.85,-23.6,-0.445,19.25,20.64,01a59677o0539o
59677.506241,20.062,0.385,34,13,o,0,1.4,243.95857,59.43337,5765.55,6379.15,3.18,3.12,11.7,-0.418,19.17,20.63,01a59677o0553o
59677.509441,19.741,0.348,46,16,o,0,1.05,243.95857,59.43337,5820.61,6454.88,3.11,3.06,-6.4,-0.432,19.2,20.64,01a59677o0560o
59677.524598,20.141,0.43,32,14,o,0,1.28,243.95857,59.43337,5839.28,6333.69,3.05,2.97,35.9,-0.426,19.22,20.69,01a59677o0591o
59679.471951,19.533,0.369,56,21,c,0,1.31,243.95857,59.43337,4711.99,9982.99,2.94,2.55,43.4,-0.364,19.01,20.82,02a59679o0525c
59679.475149,19.322,0.274,68,19,c,0,1.31,243.95857,59.43337,4733.96,10022.75,2.71,2.49,45.9,-0.384,19.09,20.84,02a59679o0532c
59679.480379,18.914,0.198,99,20,c,0,1.31,243.95857,59.43337,4672.47,9942.77,2.69,2.45,41.2,-0.391,19.14,20.93,02a59679o0543c
59679.486407,18.849,0.193,105,20,c,0,1.1,243.95857,59.43337,4650.4,10060.5,2.71,2.46,44.4,-0.385,19.13,20.87,02a59679o0556c
59681.510035,18.862,0.206,104,21,o,0,1.31,243.95857,59.43337,3024.8,2932.13,2.97,2.88,-32.8,-0.463,18.75,19.75,01a59681o0617o
59681.511901,18.883,0.206,102,21,o,0,1.11,243.95857,59.43337,3005.08,2893.04,2.89,2.82,-10.3,-0.467,18.77,19.74,01a59681o0621o
59681.514652,18.59,0.161,133,22,o,0,1.13,243.95857,59.43337,3068.71,2966.05,3.11,2.91,37.2,-0.436,18.69,19.74,01a59681o0627o
59681.520122,18.685,0.156,122,19,o,0,1.49,243.95857,59.43337,3086.09,2847.66,2.83,2.77,22.3,-0.467,18.79,19.76,01a59681o0639o
59683.524011,18.021,0.789,225,177,o,0,1.5,243.95857,59.43337,1845.67,2137.93,2.24,2.03,41.4,-0.439,16.49,16.46,02a59683o0633o
59683.527249,19.126,0.846,81,69,o,0,1.27,243.95857,59.43337,1864.66,2178.76,2.18,2.07,43.2,-0.445,17.14,17.83,02a59683o0640o
59683.547227,18.169,0.104,196,20,o,0,0.83,243.95857,59.43337,1818.62,2096.1,2.33,2.11,39.9,-0.425,18.93,19.7,02a59683o0683o
59683.549968,18.243,0.096,183,18,o,0,1.34,243.95857,59.43337,1798.32,2214.72,2.31,2.22,36.9,-0.431,18.91,19.69,02a59683o0689o
59687.477095,17.899,0.101,251,25,o,0,0.99,243.95857,59.43337,1831.36,2139.02,2.08,1.88,42.0,-0.449,18.63,18.97,02a59687o0545o
59687.478923,18.151,0.113,199,22,o,0,1.53,243.95857,59.43337,1851.43,2178.22,2.0,1.95,54.7,-0.457,18.66,18.97,02a59687o0549o
59687.482743,18.024,0.122,224,27,o,0,0.77,243.95857,59.43337,1790.19,2099.24,2.26,1.86,37.2,-0.439,18.58,18.97,02a59687o0557o
59687.490857,18.053,0.107,218,23,o,0,1.2,243.95857,59.43337,1778.07,2213.16,2.11,2.0,40.4,-0.45,18.59,18.96,02a59687o0574o
59689.491157,18.226,0.14,186,26,o,0,1.28,243.95857,59.43337,3281.48,8738.29,2.89,2.68,-42.9,-0.458,18.78,19.65,01a59689o0420o
59689.492981,17.738,0.09,292,26,o,0,1.5,243.95857,59.43337,3262.69,8699.61,2.89,2.68,-40.5,-0.462,18.72,19.65,01a59689o0424o
59689.497542,17.952,0.107,239,26,o,0,1.15,243.95857,59.43337,3320.52,8774.01,2.76,2.66,-49.6,-0.467,18.78,19.64,01a59689o0434o
59689.503031,17.903,0.106,251,26,o,0,1.25,243.95857,59.43337,3335.97,8656.09,2.78,2.63,-44.7,-0.467,18.78,19.67,01a59689o0446o
59691.484729,18.937,14.235,97,1376,o,0,1.05,243.95857,59.43337,6250.27,5694.86,2.79,2.05,37.8,-0.436,14.66,14.98,02a59691o0460o
59693.470284,18.044,0.09,220,20,o,0,1.05,243.95857,59.43337,3284.68,8734.86,2.82,2.79,-78.9,-0.448,19.04,20.27,01a59693o0539o
59693.472105,18.12,0.118,205,24,o,0,1.06,243.95857,59.43337,3265.62,8696.03,2.75,2.66,78.8,-0.456,18.87,20.08,01a59693o0543o
59693.475293,17.834,0.069,267,18,o,0,1.59,243.95857,59.43337,3323.06,8770.37,2.85,2.67,66.6,-0.443,19.1,20.35,01a59693o0550o
59693.480809,17.805,0.06,274,16,o,0,1.1,243.95857,59.43337,3340.26,8652.3,2.9,2.73,62.9,-0.435,19.16,20.41,01a59693o0562o
59695.441196,17.555,0.038,345,13,c,0,1.51,243.95857,59.43337,6235.33,5696.43,2.82,2.42,39.6,-0.395,19.37,21.28,02a59695o0465c
59695.454418,17.67,0.044,310,14,c,0,1.21,243.95857,59.43337,6259.36,5732.23,2.87,2.48,40.3,-0.395,19.4,21.34,02a59695o0493c
59695.458075,17.652,0.046,316,15,c,0,1.19,243.95857,59.43337,6203.52,5657.31,2.82,2.46,41.8,-0.395,19.41,21.34,02a59695o0501c
59695.462735,17.637,0.045,320,14,c,0,1.12,243.95857,59.43337,6180.97,5775.15,2.9,2.42,40.7,-0.392,19.44,21.35,02a59695o0511c
59697.512065,17.922,0.063,246,16,o,0,1.12,243.95857,59.43337,5359.01,2000.97,2.75,2.69,-59.2,-0.482,19.22,20.51,01a59697o0361o
59697.515304,17.959,0.071,238,17,o,0,0.96,243.95857,59.43337,5378.77,2039.68,2.68,2.64,-48.5,-0.489,19.2,20.44,01a59697o0368o
59697.523602,18.061,0.073,216,16,o,0,1.47,243.95857,59.43337,5322.84,1966.75,2.66,2.62,-51.0,-0.493,19.2,20.42,01a59697o0386o
59697.53422,17.98,0.078,233,18,o,0,0.98,243.95857,59.43337,5312.06,2086.27,2.81,2.7,32.9,-0.467,19.18,20.47,01a59697o0409o
59699.483366,17.749,0.079,289,23,c,0,1.2,243.95857,59.43337,3118.71,3740.28,3.09,2.59,38.5,-0.383,18.76,20.44,02a59699o0556c
59699.485193,17.793,0.072,277,20,c,0,1.36,243.95857,59.43337,3142.36,3777.31,2.8,2.58,42.7,-0.399,18.83,20.47,02a59699o0560c
59699.487934,17.792,0.069,278,19,c,0,1.33,243.95857,59.43337,3085.59,3698.36,2.56,2.35,43.3,-0.413,18.92,20.49,02a59699o0566c
59699.492961,17.699,0.061,302,18,c,0,0.83,243.95857,59.43337,3068.38,3814.5,2.59,2.33,39.9,-0.407,19.07,20.64,02a59699o0577c
59701.559349,18.88,2.267,102,231,o,0,0.79,243.95857,59.43337,5375.16,2011.34,2.92,2.83,-14.4,-0.447,17.11,18.37,01a59701o0068o
59701.56303,-17.856,0.639,-262,167,o,0,1.29,243.95857,59.43337,5398.33,2050.67,3.36,3.02,35.3,-0.391,16.65,18.0,01a59701o0076o
59709.432077,18.607,0.127,131,17,o,0,1.01,243.95857,59.43337,3881.92,6571.45,2.75,2.65,-40.3,-0.468,19.13,20.19,01a59709o0432o
59709.43392,18.652,0.123,126,16,o,0,1.29,243.95857,59.43337,3861.95,6533.01,2.77,2.74,42.1,-0.45,19.13,20.21,01a59709o0436o
