MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59662.506846,20.667,0.647,20,13,o,0,1.21,203.07838,40.67359,2290.77,5288.09,2.47,2.0,31.0,-0.415,19.36,20.47,02a59662o0373o
59662.512003,-20.233,0.396,-29,12,o,0,1.8,203.07838,40.67359,2272.43,5249.43,2.45,1.96,29.3,-0.421,19.35,20.46,02a59662o0384o
59662.516018,-20.542,0.547,-22,12,o,0,1.18,203.07838,40.67359,2329.63,5325.41,2.49,1.95,31.6,-0.421,19.39,20.43,02a59662o0392o
59662.547592,-21.294,1.262,-11,14,o,0,1.12,203.07838,40.67359,2344.5,5206.72,2.47,2.09,33.4,-0.419,19.31,20.39,02a59662o0457o
59664.538895,20.222,0.509,30,15,o,0,1.15,203.07838,40.67359,7747.61,3590.98,2.77,2.59,-51.1,-0.492,19.24,20.53,01a59664o0707o
59664.564303,-21.127,1.027,-13,13,o,0,1.5,203.07838,40.67359,7777.64,3631.95,2.71,2.54,-51.9,-0.493,19.28,20.52,01a59664o0761o
59664.568542,-20.754,0.781,-18,14,o,0,0.9,203.07838,40.67359,7718.66,3558.64,2.69,2.54,-53.0,-0.496,19.25,20.49,01a59664o0770o
59664.596603,-20.689,0.725,-19,14,o,0,1.24,203.07838,40.67359,7712.15,3681.55,2.71,2.58,-47.6,-0.487,19.21,20.44,01a59664o0830o
59665.42262,20.624,0.558,20,11,c,0,1.11,203.07838,40.67359,8308.98,5299.86,2.64,2.39,40.9,-0.399,19.64,21.7,02a59665o0451c
59665.425819,21.959,1.75,6,10,c,0,1.06,203.07838,40.67359,8328.96,5338.35,2.68,2.4,36.7,-0.393,19.62,21.71,02a59665o0458c
59665.429016,-20.685,0.439,-19,8,c,0,1.32,203.07838,40.67359,8270.84,5262.55,2.64,2.37,40.3,-0.398,19.67,21.72,02a59665o0465c
59665.451876,22.807,3.632,3,10,c,0,0.91,203.07838,40.67359,8252.92,5383.89,2.65,2.34,38.6,-0.399,19.66,21.78,02a59665o0511c
59665.479117,19.947,0.323,38,12,o,0,1.19,203.07838,40.67359,7734.97,3587.25,2.65,2.55,-57.5,-0.5,19.44,20.91,01a59665o0558o
59665.483251,-22.689,3.167,-3,10,o,0,1.78,203.07838,40.67359,7756.6,3624.45,2.7,2.58,-58.0,-0.494,19.44,20.91,01a59665o0567o
59665.48919,20.482,0.507,23,12,o,0,0.97,203.07838,40.67359,7699.05,3549.87,2.71,2.6,-55.2,-0.484,19.44,20.89,01a59665o0580o
59665.523492,22.426,3.318,4,13,o,0,1.35,203.07838,40.67359,7693.72,3667.91,2.76,2.67,-41.7,-0.477,19.4,20.8,01a59665o0654o
59666.505495,-22.053,1.786,-6,10,c,0,1.22,203.07838,40.67359,2728.07,8865.98,2.38,2.32,1.7,-0.412,19.66,21.78,02a59666o0632c
59666.50915,-21.116,0.713,-13,9,c,0,1.48,203.07838,40.67359,2709.13,8827.68,2.36,2.32,-0.5,-0.408,19.69,21.77,02a59666o0640c
59666.544578,20.23,0.421,29,12,c,0,1.16,203.07838,40.67359,2757.87,8899.26,2.53,2.52,-83.8,-0.407,19.6,21.78,02a59666o0716c
59666.550421,-21.885,1.578,-6,10,c,0,1.63,203.07838,40.67359,2779.31,8781.82,2.5,2.42,18.2,-0.406,19.64,21.78,02a59666o0728c
59667.473398,-17.6,0.373,-331,124,o,0,0.91,203.07838,40.67359,7730.19,3583.76,2.72,2.67,-59.2,-0.488,16.89,18.3,01a59667o0568o
59667.477139,-17.209,0.544,-474,258,o,0,0.78,203.07838,40.67359,7751.95,3621.52,2.77,2.71,-50.7,-0.481,16.18,17.59,01a59667o0576o
59667.484312,19.637,5.077,51,258,o,0,1.22,203.07838,40.67359,7694.44,3548.04,2.77,2.7,-50.8,-0.487,16.04,17.45,01a59667o0590o
59667.517725,-17.771,0.389,-283,110,o,0,1.32,203.07838,40.67359,7688.09,3667.36,2.82,2.74,-54.1,-0.473,16.9,18.34,01a59667o0661o
59669.472804,20.762,0.547,18,10,c,0,1.39,203.07838,40.67359,2733.16,8867.23,2.4,2.34,10.4,-0.416,19.65,21.76,02a59669o0562c
59669.477132,23.731,7.111,1,8,c,0,2.0,203.07838,40.67359,2714.18,8829.15,2.37,2.3,19.3,-0.419,19.68,21.77,02a59669o0571c
59669.508285,-22.63,3.04,-3,10,c,0,1.42,203.07838,40.67359,2763.81,8904.06,2.34,2.29,-29.8,-0.422,19.7,21.8,02a59669o0638c
59669.513418,-21.392,0.782,-10,8,c,0,1.79,203.07838,40.67359,2783.61,8786.61,2.35,2.32,13.8,-0.419,19.68,21.81,02a59669o0649c
59670.537775,24.625,23.0,0,12,c,0,1.1,203.07838,40.67359,2727.58,8865.26,2.71,2.67,-26.2,-0.395,19.51,21.77,02a59670o0341c
59670.541251,21.004,0.804,14,12,c,0,1.05,203.07838,40.67359,2708.43,8826.13,2.44,2.34,3.9,-0.4,19.64,21.76,02a59670o0348c
59670.548485,-22.031,1.732,-6,10,c,0,1.23,203.07838,40.67359,2764.08,8908.81,2.44,2.36,4.1,-0.407,19.64,21.75,02a59670o0362c
59670.577465,-21.251,0.89,-12,10,c,0,1.52,203.07838,40.67359,2778.3,8782.75,2.42,2.38,-5.5,-0.414,19.6,21.69,02a59670o0423c
59671.42949,-20.775,0.696,-18,12,o,0,1.07,203.07838,40.67359,2779.33,6970.26,2.75,2.58,-47.0,-0.48,19.41,20.94,01a59671o0465o
59671.43,22.415,2.385,4,9,c,0,1.42,203.07838,40.67359,7863.81,1724.48,2.63,2.48,67.7,-0.395,19.56,21.73,02a59671o0374c
59671.432741,21.191,0.892,12,11,c,0,1.15,203.07838,40.67359,7882.19,1763.67,2.57,2.44,71.1,-0.401,19.59,21.74,02a59671o0380c
59671.43594,-20.952,0.67,-15,10,c,0,1.07,203.07838,40.67359,7825.57,1687.56,2.69,2.58,75.8,-0.392,19.54,21.73,02a59671o0387c
59671.44193,21.097,0.878,13,12,c,0,0.74,203.07838,40.67359,7808.0,1806.19,2.84,2.73,64.6,-0.388,19.47,21.72,02a59671o0400c
59671.448369,20.113,0.314,33,10,o,0,1.75,203.07838,40.67359,2759.19,6928.84,2.73,2.6,-45.8,-0.476,19.46,20.96,01a59671o0504o
59671.450192,-20.453,0.461,-24,11,o,0,1.3,203.07838,40.67359,2818.26,7003.46,2.72,2.59,-44.2,-0.474,19.46,20.96,01a59671o0508o
59671.452926,-21.42,1.305,-10,13,o,0,0.86,203.07838,40.67359,2835.57,6887.15,2.68,2.56,-48.3,-0.479,19.44,20.94,01a59671o0514o
59672.442935,-22.151,2.923,-5,15,o,0,1.17,203.07838,40.67359,9740.9,566.7,2.87,2.57,-56.3,-0.479,19.33,20.67,01a59672o0488o
59672.444761,-22.003,2.333,-6,13,o,0,1.36,203.07838,40.67359,9719.68,526.3,2.84,2.58,-53.3,-0.488,19.32,20.68,01a59672o0492o
59672.454566,22.406,4.421,4,18,o,0,1.0,203.07838,40.67359,9780.19,604.08,2.98,2.68,-52.1,-0.48,19.29,20.63,01a59672o0512o
59672.469486,20.336,0.513,27,14,o,0,1.37,203.07838,40.67359,755.47,10118.95,2.8,2.45,-44.1,-0.545,19.31,20.7,01a59672o0541o
59673.348779,23.122,29.0,2,59,c,0,0.68,203.07838,40.67359,7844.11,1715.78,2.85,2.63,47.7,-0.383,17.89,19.93,02a59673o0289c
59673.351984,-21.853,2.652,-7,18,c,0,1.6,203.07838,40.67359,7869.29,1755.63,2.57,2.54,-85.4,-0.4,18.87,20.92,02a59673o0296c
59673.357955,19.095,0.793,84,66,c,0,1.46,203.07838,40.67359,7812.09,1679.56,2.55,2.52,81.8,-0.396,17.56,19.52,02a59673o0309c
59673.390319,19.967,13.875,37,519,c,0,0.96,203.07838,40.67359,7795.73,1799.53,2.48,2.41,72.6,-0.395,15.54,17.39,02a59673o0378c
59675.399689,-17.422,0.569,-390,222,c,0,1.22,203.07838,40.67359,2448.65,5554.77,2.81,2.38,37.4,-0.391,16.31,18.3,02a59675o0402c
59677.401286,-20.986,1.243,-15,18,o,0,0.88,203.07838,40.67359,9755.45,571.94,2.92,2.69,-56.3,-0.488,19.22,20.58,01a59677o0328o
59677.404963,-20.56,0.833,-22,18,o,0,1.0,203.07838,40.67359,9732.05,528.45,3.19,2.92,-50.4,-0.484,19.15,20.61,01a59677o0336o
59677.428277,22.511,3.0,4,11,c,0,1.34,203.07838,40.67359,2495.93,5595.03,2.61,2.39,37.6,-0.407,19.5,21.5,02a59677o0438c
59677.430105,21.869,1.667,6,11,c,0,1.32,203.07838,40.67359,2515.95,5634.19,2.56,2.35,33.9,-0.411,19.49,21.53,02a59677o0442c
59677.431351,20.067,0.48,34,16,o,0,1.16,203.07838,40.67359,9790.67,601.02,3.19,3.0,-55.0,-0.49,19.14,20.6,01a59677o0393o
59677.435001,20.235,0.543,29,16,o,0,1.08,203.07838,40.67359,9811.5,481.63,3.17,2.8,-52.7,-0.492,19.22,20.65,01a59677o0401o
59677.45083,-23.447,6.8,-2,10,c,0,1.26,203.07838,40.67359,2463.13,5556.56,2.65,2.4,34.3,-0.403,19.6,21.75,02a59677o0483c
59677.45635,20.957,0.683,15,10,c,0,1.07,203.07838,40.67359,2445.26,5674.42,2.63,2.36,33.5,-0.408,19.63,21.77,02a59677o0495c
59678.362027,21.98,2.238,6,13,c,0,1.54,203.07838,40.67359,2488.27,5592.92,2.51,2.28,42.0,-0.412,19.23,20.96,02a59678o0310c
59678.365266,21.258,1.241,11,14,c,0,1.46,203.07838,40.67359,2507.91,5632.17,2.5,2.27,40.0,-0.411,19.26,20.98,02a59678o0317c
