MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59668.280309,-17.755,0.602,-287,173,c,0,0.82,149.19495,11.90865,9607.43,6610.34,2.65,2.42,28.4,-0.471,16.55,18.37,02a59668o0144c
59668.283522,-18.025,0.472,-224,106,c,0,1.02,149.19495,11.90865,9627.75,6649.21,2.66,2.43,26.9,-0.41,17.36,19.15,02a59668o0151c
59668.289005,21.351,1.738,10,18,c,0,1.16,149.19495,11.90865,9569.42,6572.13,2.64,2.44,26.7,-0.41,19.0,20.93,02a59668o0163c
59668.29868,19.733,0.761,46,35,c,0,1.36,149.19495,11.90865,9551.59,6688.63,2.73,2.39,26.8,-0.4,18.16,20.06,02a59668o0184c
59670.284416,-20.17,0.376,-31,12,o,0,1.35,149.19495,11.90865,4898.71,2036.33,2.69,2.64,-53.7,-0.481,19.38,20.78,01a59670o0158o
59670.286696,23.231,7.273,2,14,o,0,0.9,149.19495,11.90865,4878.92,1997.23,2.69,2.6,-46.0,-0.482,19.4,20.78,01a59670o0163o
59670.289433,20.325,0.454,27,12,o,0,1.2,149.19495,11.90865,4938.52,2073.37,2.77,2.69,-40.8,-0.465,19.37,20.79,01a59670o0169o
59670.300846,-20.088,0.381,-34,13,o,0,0.97,149.19495,11.90865,4956.12,1954.39,2.67,2.53,-44.3,-0.495,19.4,20.82,01a59670o0194o
59676.263997,-20.488,1.469,-23,34,c,0,1.23,149.19495,11.90865,5679.46,10511.3,2.7,2.38,-56.1,-0.443,19.35,21.16,02a59676o0107c
59676.271833,-22.026,4.405,-6,25,c,0,1.13,149.19495,11.90865,5639.96,10471.31,2.63,2.4,-60.6,-0.425,19.37,21.2,02a59676o0124c
59676.274127,22.909,5.789,2,14,c,0,1.27,149.19495,11.90865,9931.18,276.76,2.64,2.02,-61.1,-0.429,19.39,21.23,02a59676o0129c
59676.275955,-20.798,0.936,-17,16,c,0,0.96,149.19495,11.90865,9950.48,316.99,2.52,2.02,-56.9,-0.43,19.42,21.24,02a59676o0133c
59676.278697,-25.388,58.5,0,15,c,0,1.31,149.19495,11.90865,9894.0,238.32,2.59,2.02,-58.1,-0.432,19.43,21.25,02a59676o0139c
59676.283737,0.0,21.082,0,13,c,0,1.13,149.19495,11.90865,9873.35,357.84,2.51,2.02,-56.9,-0.434,19.43,21.26,02a59676o0150c
59677.302919,-21.705,2.22,-8,17,c,0,0.81,149.19495,11.90865,4924.83,74.64,2.44,2.18,-73.5,-0.396,19.21,20.94,02a59677o0184c
59677.30825,-19.145,0.545,-80,44,c,0,2.0,149.19495,11.90865,4906.22,37.52,2.46,2.18,-70.5,-0.402,19.28,20.96,02a59677o0195c
59677.31119,21.232,1.253,12,15,c,0,1.03,149.19495,11.90865,4965.47,116.75,2.41,2.14,-77.3,-0.392,19.24,20.98,02a59677o0201c
59678.238687,-18.533,0.542,-140,76,c,0,0.67,149.19495,11.90865,5677.87,10511.32,2.59,2.35,-59.1,-0.457,18.83,20.42,02a59678o0046c
59678.245135,18.996,0.401,92,37,c,0,1.38,149.19495,11.90865,5641.77,10474.91,2.47,2.39,-60.0,-0.435,18.88,20.5,02a59678o0060c
59679.290376,-15.968,0.784,-1488,1167,o,0,1.1,149.19495,11.90865,9482.08,4556.1,3.04,2.85,-64.6,-0.478,14.72,14.84,01a59679o0142o
59684.323852,20.073,1.607,34,55,o,0,1.17,149.19495,11.90865,1301.81,8330.89,2.73,2.43,-44.8,-0.48,18.45,19.02,01a59684o0172o
59684.337089,-23.86,27.556,-1,29,o,0,0.8,149.19495,11.90865,1110.75,7853.2,2.17,2.1,28.1,-0.432,18.54,18.93,02a59684o0219o
59684.339859,20.938,1.778,15,27,o,0,0.91,149.19495,11.90865,1091.62,7818.09,2.17,2.05,13.8,-0.447,18.61,18.96,02a59684o0225o
59684.345838,20.019,0.793,36,28,o,0,0.83,149.19495,11.90865,1150.28,7894.47,2.18,2.11,21.7,-0.44,18.58,18.95,02a59684o0238o
59684.347222,19.78,0.952,44,42,o,0,1.65,149.19495,11.90865,1327.71,8371.28,2.7,2.35,-45.5,-0.494,18.47,19.08,01a59684o0221o
59684.350887,19.066,0.518,86,44,o,0,1.48,149.19495,11.90865,1268.84,8295.06,2.71,2.39,-45.7,-0.485,18.46,19.06,01a59684o0229o
59684.35684,23.167,15.111,2,30,o,0,1.1,149.19495,11.90865,1171.11,7777.94,2.1,2.02,18.0,-0.444,18.61,18.89,02a59684o0262o
59684.369059,19.138,0.697,80,56,o,0,1.08,149.19495,11.90865,1256.32,8415.06,2.85,2.49,-46.3,-0.47,18.35,18.96,01a59684o0267o
59688.307773,18.293,0.093,175,16,o,0,1.15,149.19495,11.90865,1115.9,7862.36,2.23,2.03,-57.9,-0.468,19.29,20.23,02a59688o0183o
59688.311436,18.544,0.127,139,18,o,0,0.69,149.19495,11.90865,1096.38,7824.26,2.17,2.04,-51.9,-0.456,19.23,20.13,02a59688o0191o
59688.317998,18.494,0.113,145,16,o,0,1.61,149.19495,11.90865,1155.62,7902.62,2.18,2.0,-55.2,-0.467,19.17,19.95,02a59688o0205o
59688.328092,18.088,0.096,211,20,o,0,1.41,149.19495,11.90865,1177.27,7785.0,2.11,2.0,-60.2,-0.455,18.65,19.12,02a59688o0227o
59690.330446,17.971,0.052,235,12,c,0,1.11,149.19495,11.90865,3267.77,4363.85,2.46,2.25,46.3,-0.411,19.54,21.43,02a59690o0229c
59690.333644,18.001,0.072,229,16,c,0,1.27,149.19495,11.90865,3251.55,4326.79,2.4,2.24,43.2,-0.416,19.15,20.98,02a59690o0236c
59690.340243,18.232,0.073,185,14,o,0,1.15,149.19495,11.90865,5122.0,2442.59,2.62,2.51,-66.1,-0.487,19.37,20.84,01a59690o0266o
59690.343441,18.006,0.058,228,13,o,0,1.28,149.19495,11.90865,5142.64,2481.23,2.56,2.52,68.0,-0.486,19.38,20.83,01a59690o0273o
59690.344702,18.033,0.056,222,12,c,0,1.41,149.19495,11.90865,3309.69,4402.19,2.48,2.32,42.9,-0.404,19.54,21.41,02a59690o0260c
59690.348937,18.21,0.069,189,13,o,0,1.36,149.19495,11.90865,5085.67,2404.26,2.59,2.55,-64.1,-0.489,19.36,20.79,01a59690o0285o
59690.361753,18.373,0.085,162,14,o,0,1.56,149.19495,11.90865,5070.96,2523.76,2.61,2.53,-52.2,-0.489,19.3,20.72,01a59690o0313o
59690.362456,17.956,0.073,238,17,c,0,1.31,149.19495,11.90865,3328.9,4285.65,2.51,2.3,40.4,-0.41,19.17,21.02,02a59690o0298c
59692.305875,17.7,0.046,302,14,c,0,1.34,149.19495,11.90865,3250.57,4329.5,2.66,2.34,40.4,-0.4,19.3,21.12,02a59692o0079c
59692.309087,17.792,0.049,278,14,c,0,1.02,149.19495,11.90865,3308.55,4407.05,2.7,2.4,39.4,-0.391,19.4,21.28,02a59692o0086c
59692.321001,17.745,0.046,290,13,c,0,1.12,149.19495,11.90865,3329.54,4291.47,2.67,2.34,40.2,-0.399,19.39,21.23,02a59692o0112c
59694.32575,17.759,0.047,286,13,o,0,1.63,149.19495,11.90865,5119.86,2442.08,2.63,2.56,-61.6,-0.49,19.36,20.79,01a59694o0229o
59694.328976,17.683,0.047,307,14,o,0,1.04,149.19495,11.90865,5141.01,2481.51,2.7,2.62,-63.9,-0.48,19.36,20.81,01a59694o0236o
59694.334968,17.704,0.046,301,14,o,0,1.12,149.19495,11.90865,5082.19,2405.32,2.62,2.56,-53.4,-0.488,19.42,20.81,01a59694o0249o
59694.356103,17.69,0.048,305,15,o,0,1.17,149.19495,11.90865,5067.32,2525.82,2.69,2.59,-58.0,-0.481,19.33,20.72,01a59694o0295o
59696.276178,17.451,0.034,380,13,c,0,1.49,149.19495,11.90865,3271.22,4359.76,2.52,2.28,43.4,-0.413,19.49,21.33,02a59696o0104c
59696.280363,17.552,0.039,346,13,c,0,1.46,149.19495,11.90865,3252.04,4325.09,2.53,2.33,41.0,-0.413,19.49,21.33,02a59696o0113c
59696.286765,17.529,0.039,354,14,c,0,1.01,149.19495,11.90865,3310.13,4402.94,2.5,2.27,40.4,-0.412,19.5,21.31,02a59696o0127c
59696.296874,17.433,0.036,386,14,c,0,1.03,149.19495,11.90865,3328.42,4287.28,2.49,2.26,43.6,-0.41,19.51,21.28,02a59696o0149c
59698.325619,17.658,0.055,314,17,o,0,1.54,149.19495,11.90865,3197.25,2580.27,2.51,2.46,-55.1,-0.506,19.03,20.39,01a59698o0221o
59698.329764,17.564,0.071,342,24,o,0,0.96,149.19495,11.90865,3219.6,2618.81,2.6,2.51,-63.1,-0.49,18.81,20.14,01a59698o0230o
59698.334859,17.754,0.103,287,30,o,0,0.72,149.19495,11.90865,3161.07,2542.45,2.58,2.48,-51.3,-0.501,18.79,20.12,01a59698o0241o
59698.345924,17.616,0.073,326,24,o,0,1.43,149.19495,11.90865,3147.64,2660.23,2.5,2.45,-52.3,-0.506,18.75,20.14,01a59698o0265o
59700.278051,17.283,0.242,444,107,c,0,1.28,149.19495,11.90865,3355.95,6294.01,2.66,2.38,38.4,-0.379,17.1,18.56,02a59700o0108c
59700.281339,17.377,0.045,407,18,c,0,1.37,149.19495,11.90865,3336.42,6256.99,2.58,2.34,37.1,-0.399,19.01,20.55,02a59700o0115c
59700.287764,17.407,0.272,396,108,c,0,0.68,149.19495,11.90865,3394.09,6334.75,2.58,2.32,35.8,-0.395,17.42,18.94,02a59700o0129c
59704.259111,17.332,0.54,424,229,c,0,1.07,149.19495,11.90865,3364.08,6297.69,2.57,2.28,34.7,-0.402,16.36,17.74,02a59704o0063c
