MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59671.36113,20.575,0.596,21,13,c,0,1.22,154.73616,62.25495,4301.37,9994.17,2.6,2.49,-66.3,-0.4,19.52,21.67,02a59671o0226c
59671.364328,-20.588,0.531,-21,11,c,0,1.73,154.73616,62.25495,4282.92,9955.54,2.5,2.46,-78.8,-0.396,19.61,21.66,02a59671o0233c
59671.370753,21.373,1.229,10,13,c,0,1.11,154.73616,62.25495,4336.73,10031.23,2.47,2.41,-56.1,-0.403,19.6,21.64,02a59671o0247c
59671.40474,20.741,0.852,18,16,c,0,1.1,154.73616,62.25495,4336.47,9911.18,2.8,2.53,37.7,-0.382,19.4,21.54,02a59671o0320c
59673.473031,20.856,0.871,16,14,o,0,1.34,154.73616,62.25495,8919.01,8648.36,3.11,2.86,49.1,-0.417,19.15,20.71,01a59673o0116o
59673.476269,-20.271,0.657,-28,19,o,0,1.08,154.73616,62.25495,8942.25,8686.88,3.06,2.91,58.3,-0.427,19.0,20.52,01a59673o0123o
59673.485861,-19.487,0.58,-58,34,o,0,1.12,154.73616,62.25495,8876.67,8616.64,3.02,2.86,77.9,-0.431,18.29,19.83,01a59673o0144o
59673.499164,20.664,1.204,20,24,o,0,0.89,154.73616,62.25495,8857.24,8740.72,3.08,2.91,88.2,-0.425,18.7,20.22,01a59673o0173o
59675.360413,18.959,1.202,95,114,c,0,1.17,154.73616,62.25495,2798.79,6102.86,2.88,2.36,29.9,-0.367,17.25,19.05,02a59675o0317c
59675.37002,19.129,3.625,81,294,c,0,0.77,154.73616,62.25495,2880.01,6060.8,2.46,2.24,24.2,-0.413,15.88,17.58,02a59675o0338c
59677.338594,-20.797,1.0,-17,17,o,0,1.18,154.73616,62.25495,8897.0,8615.35,3.03,2.75,31.7,-0.435,19.07,20.22,01a59677o0192o
59677.342242,-20.279,0.664,-28,19,o,0,1.27,154.73616,62.25495,8918.08,8651.62,2.98,2.93,-89.7,-0.436,19.04,20.2,01a59677o0200o
59677.347716,-23.008,7.727,-2,18,o,0,1.09,154.73616,62.25495,8853.79,8579.57,2.94,2.91,-14.0,-0.441,19.05,20.22,01a59677o0212o
59677.360043,20.37,0.702,26,18,o,0,1.36,154.73616,62.25495,8840.28,8701.06,3.02,2.86,29.1,-0.434,19.06,20.23,01a59677o0239o
59679.322926,-18.151,1.286,-199,256,c,0,1.42,154.73616,62.25495,2834.21,6151.69,2.46,2.32,24.0,-0.437,16.0,17.44,02a59679o0203c
59679.326125,-18.923,5.847,-98,572,c,0,1.01,154.73616,62.25495,2815.04,6112.16,2.5,2.35,24.1,-0.461,15.15,16.67,02a59679o0210c
59679.36698,-20.84,1.566,-17,26,c,0,1.07,154.73616,62.25495,2876.04,6059.27,2.52,2.38,26.8,-0.401,18.5,20.15,02a59679o0298c
59681.366308,19.605,0.514,52,27,o,0,1.1,154.73616,62.25495,7878.53,2099.43,2.77,2.67,-47.6,-0.505,18.67,19.47,01a59681o0304o
59681.371782,20.678,1.398,19,27,o,0,0.89,154.73616,62.25495,7901.29,2138.24,2.88,2.77,-38.3,-0.483,18.63,19.46,01a59681o0316o
59681.378235,-21.944,4.25,-6,26,o,0,1.23,154.73616,62.25495,7845.07,2064.8,3.05,2.88,-54.7,-0.474,18.53,19.44,01a59681o0330o
59681.390112,20.651,1.396,20,28,o,0,0.98,154.73616,62.25495,7832.03,2185.32,2.99,2.78,-52.9,-0.482,18.57,19.38,01a59681o0356o
59683.390256,20.459,1.076,24,26,o,0,0.87,154.73616,62.25495,7344.4,3722.63,2.61,2.23,39.5,-0.406,18.6,19.07,02a59683o0342o
59683.393466,-21.046,1.713,-14,24,o,0,1.56,154.73616,62.25495,7324.77,3682.77,2.65,2.29,37.7,-0.416,18.56,19.03,02a59683o0349o
59683.399907,19.233,0.346,74,26,o,0,1.34,154.73616,62.25495,7382.6,3762.09,2.62,2.09,37.8,-0.409,18.48,18.86,02a59683o0363o
59683.410916,-21.032,2.753,-14,39,o,0,0.94,154.73616,62.25495,7402.86,3644.73,2.5,2.12,38.0,-0.417,18.09,18.31,02a59683o0387o
