MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59676.452834,20.523,0.535,22,12,c,0,1.43,193.30087,-6.38524,7405.19,5323.39,2.8,2.37,37.3,-0.392,19.51,21.55,02a59676o0452c
59676.456032,-21.907,1.829,-6,12,c,0,1.23,193.30087,-6.38524,7386.15,5284.88,2.74,2.34,41.9,-0.394,19.55,21.56,02a59676o0459c
59676.461128,21.747,1.689,7,12,c,0,1.26,193.30087,-6.38524,7444.07,5362.72,2.87,2.38,38.3,-0.39,19.49,21.55,02a59676o0470c
59676.471661,24.723,24.333,0,11,c,0,1.0,193.30087,-6.38524,7465.26,5250.33,2.74,2.37,41.9,-0.394,19.54,21.54,02a59676o0493c
59680.388441,20.277,0.665,28,19,c,0,1.32,193.30087,-6.38524,3190.84,5252.64,2.47,2.2,28.6,-0.408,18.82,20.45,02a59680o0351c
59680.390274,23.395,13.667,2,22,c,0,1.07,193.30087,-6.38524,3209.83,5291.31,2.51,2.21,27.9,-0.4,18.84,20.46,02a59680o0355c
59680.393472,21.541,2.25,9,20,c,0,0.99,193.30087,-6.38524,3151.28,5214.44,2.47,2.18,27.2,-0.404,18.83,20.45,02a59680o0362c
59680.42876,20.206,0.917,30,28,c,0,1.17,193.30087,-6.38524,3135.01,5335.92,2.51,2.22,27.1,-0.415,18.55,20.18,02a59680o0436c
59682.366187,-20.509,1.887,-23,43,o,0,1.15,193.30087,-6.38524,1697.78,7611.12,2.84,2.46,-41.1,-0.495,18.59,19.25,01a59682o0299o
59682.368011,20.816,3.096,17,53,o,0,1.04,193.30087,-6.38524,1677.66,7571.35,2.92,2.49,-41.9,-0.496,18.43,19.1,01a59682o0303o
59682.372652,20.232,1.383,29,41,o,0,1.37,193.30087,-6.38524,1738.84,7649.26,2.89,2.5,-39.2,-0.487,18.57,19.23,01a59682o0313o
59682.378585,-20.013,1.495,-36,54,o,0,0.74,193.30087,-6.38524,1756.98,7531.02,2.86,2.48,-42.3,-0.499,18.44,19.09,01a59682o0326o
59688.417159,-20.343,1.04,-26,28,o,0,1.0,193.30087,-6.38524,7786.47,2904.31,2.25,2.0,41.1,-0.411,18.59,18.98,02a59688o0421o
59688.420381,21.0,1.568,14,23,o,0,1.14,193.30087,-6.38524,7767.92,2867.8,2.22,1.96,42.7,-0.422,18.48,18.89,02a59688o0428o
59688.425888,18.765,0.598,113,68,o,0,0.93,193.30087,-6.38524,7825.28,2944.82,2.18,1.94,40.8,-0.426,17.63,17.87,02a59688o0440o
59688.436452,19.651,1.335,50,67,o,0,1.29,193.30087,-6.38524,7846.13,2831.72,2.26,2.05,44.4,-0.418,17.44,17.77,02a59688o0463o
59690.415447,-20.884,1.023,-16,16,o,0,1.4,193.30087,-6.38524,8645.11,7305.96,2.82,2.74,-57.1,-0.457,19.18,20.35,01a59690o0430o
59690.419099,21.802,2.853,7,20,o,0,1.13,193.30087,-6.38524,8667.5,7345.7,2.99,2.9,-76.5,-0.431,19.11,20.33,01a59690o0438o
