MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59671.393944,-20.703,0.659,-19,12,c,0,0.88,186.71753,54.03843,5335.12,6367.71,3.33,2.74,38.9,-0.371,19.43,21.71,02a59671o0297c
59671.39577,20.565,0.549,22,12,c,0,0.94,186.71753,54.03843,5357.38,6405.36,3.08,2.68,39.8,-0.383,19.46,21.71,02a59671o0301c
59671.402796,22.217,2.174,5,10,c,0,1.44,186.71753,54.03843,5297.86,6330.05,3.34,2.71,39.6,-0.363,19.44,21.7,02a59671o0316c
59671.423514,-23.237,5.417,-2,10,c,0,0.82,186.71753,54.03843,5321.39,4148.25,2.73,2.36,33.3,-0.399,19.58,21.66,02a59671o0361c
59673.518374,-18.565,0.526,-136,72,o,0,1.49,186.71753,54.03843,10127.99,4139.38,3.0,2.79,-57.1,-0.47,17.4,18.93,01a59673o0215o
59675.398309,18.842,1.76,106,186,c,0,0.85,186.71753,54.03843,5086.14,10335.48,2.75,2.5,37.5,-0.379,16.62,18.6,02a59675o0399c
59677.381333,-22.412,5.077,-4,20,o,0,0.83,186.71753,54.03843,9974.65,6202.98,3.83,3.67,65.4,-0.341,18.95,20.48,01a59677o0285o
59677.385569,21.089,1.354,13,18,o,0,1.01,186.71753,54.03843,9954.94,6161.63,3.57,3.45,32.7,-0.383,18.94,20.48,01a59677o0294o
59677.391597,-21.407,1.805,-10,18,o,0,1.0,186.71753,54.03843,10014.01,6240.87,3.28,3.11,-55.4,-0.432,19.09,20.5,01a59677o0307o
59677.398493,23.697,14.8,1,18,o,0,1.31,186.71753,54.03843,10029.2,6125.39,3.34,3.07,-51.6,-0.432,19.13,20.49,01a59677o0322o
59677.416559,20.72,0.908,19,17,o,0,1.01,186.71753,54.03843,10095.82,4119.02,3.05,2.87,-59.9,-0.469,19.16,20.43,01a59677o0361o
59677.420205,-21.251,1.68,-12,19,o,0,0.87,186.71753,54.03843,10118.41,4155.92,3.19,2.95,-62.7,-0.463,19.1,20.44,01a59677o0369o
59677.427506,-21.563,2.231,-9,19,o,0,0.91,186.71753,54.03843,10060.75,4085.0,3.07,2.92,-47.4,-0.466,19.14,20.43,01a59677o0385o
59677.461319,21.944,2.846,6,17,o,0,1.01,186.71753,54.03843,10053.82,4208.14,3.17,3.06,-66.1,-0.451,19.18,20.63,01a59677o0458o
59679.421037,-20.375,0.775,-26,20,c,0,1.42,186.71753,54.03843,5451.43,338.97,2.57,2.24,64.1,-0.392,18.8,20.51,02a59679o0415c
59679.448836,21.609,2.429,8,20,c,0,1.63,186.71753,54.03843,5430.62,297.1,2.39,2.22,84.2,-0.437,18.94,20.56,02a59679o0475c
59679.477084,-21.627,2.585,-8,21,c,0,1.11,186.71753,54.03843,5487.11,379.37,2.65,2.24,60.8,-0.38,18.75,20.28,02a59679o0536c
59679.502171,-20.625,0.698,-20,14,c,0,1.1,186.71753,54.03843,5507.36,253.63,2.43,2.17,75.7,-0.407,18.46,20.1,02a59679o0590c
59681.42072,21.058,1.928,14,26,o,0,1.15,186.71753,54.03843,6287.79,7958.26,2.89,2.81,4.1,-0.464,18.71,19.59,01a59681o0423o
59681.423911,-21.536,3.043,-9,27,o,0,1.17,186.71753,54.03843,6310.07,7996.45,2.86,2.76,16.6,-0.468,18.69,19.59,01a59681o0430o
59681.42988,21.464,2.804,9,26,o,0,1.37,186.71753,54.03843,6249.25,7921.64,2.81,2.73,14.5,-0.464,18.74,19.58,01a59681o0443o
59681.441732,24.909,56.5,0,22,o,0,1.63,186.71753,54.03843,6235.74,8040.06,2.92,2.82,16.6,-0.456,18.69,19.59,01a59681o0469o
59683.430643,18.939,5.007,96,483,o,0,1.24,186.71753,54.03843,5081.37,8094.65,2.66,2.21,32.4,-0.394,16.65,16.54,02a59683o0430o
59683.434317,0.0,17.238,0,462,o,0,1.07,186.71753,54.03843,5064.37,8057.58,2.53,2.06,29.6,-0.462,16.92,16.78,02a59683o0438o
59683.441643,-17.275,1.137,-446,508,o,0,1.06,186.71753,54.03843,5117.63,8129.96,2.6,2.12,30.0,-0.462,16.78,16.74,02a59683o0454o
59683.451793,19.914,3.486,39,137,o,0,1.03,186.71753,54.03843,5135.93,8016.41,2.61,2.21,30.9,-0.408,17.82,18.01,02a59683o0476o
59685.355553,-22.47,61.1,-4,228,o,0,1.09,186.71753,54.03843,4279.29,2603.34,2.97,2.94,-8.6,-0.457,16.51,16.79,01a59685o0268o
59687.397445,21.279,2.835,11,32,o,0,0.97,186.71753,54.03843,5082.17,8094.23,2.3,1.89,32.2,-0.426,18.78,19.14,02a59687o0373o
59687.424858,-21.029,1.984,-14,28,o,0,1.17,186.71753,54.03843,5055.9,8056.38,2.3,1.88,31.2,-0.426,18.78,19.1,02a59687o0432o
59687.453125,20.109,1.007,33,33,o,0,1.33,186.71753,54.03843,5107.06,8131.93,2.31,1.93,34.5,-0.418,18.73,19.03,02a59687o0493o
59687.456341,21.27,2.481,11,28,o,0,1.62,186.71753,54.03843,5122.79,8011.85,2.73,2.03,30.0,-0.396,18.68,19.02,02a59687o0500o
59689.432961,19.985,0.645,37,24,o,0,1.02,186.71753,54.03843,1638.19,2201.75,2.66,2.62,-71.6,-0.528,18.75,19.65,01a59689o0293o
59689.43618,-20.78,1.295,-18,23,o,0,1.39,186.71753,54.03843,1657.54,2240.39,2.84,2.67,-51.5,-0.527,18.73,19.71,01a59689o0300o
59689.442114,-20.542,1.214,-22,27,o,0,1.56,186.71753,54.03843,1600.3,2163.21,3.19,3.07,-59.9,-0.501,18.58,19.55,01a59689o0313o
59689.453055,19.82,0.636,43,27,o,0,0.83,186.71753,54.03843,1586.34,2280.05,3.26,3.08,-55.2,-0.469,18.68,19.71,01a59689o0337o
59693.33721,19.973,0.792,37,30,o,0,0.95,186.71753,54.03843,8873.55,8401.2,3.09,2.72,42.0,-0.429,18.95,20.35,01a59693o0253o
59693.339485,19.411,0.29,62,18,o,0,0.87,186.71753,54.03843,8853.86,8362.07,2.85,2.74,52.9,-0.445,19.18,20.58,01a59693o0258o
59693.344127,19.123,0.245,82,20,o,0,1.13,186.71753,54.03843,8911.99,8440.69,2.87,2.79,59.0,-0.44,18.79,20.17,01a59693o0268o
59693.349596,20.203,0.627,30,19,o,0,1.08,186.71753,54.03843,8927.28,8324.32,2.85,2.81,-78.0,-0.443,18.85,20.24,01a59693o0280o
59695.364435,18.711,0.086,119,10,c,0,1.41,186.71753,54.03843,7173.56,4644.78,2.67,2.35,30.9,-0.396,19.52,21.47,02a59695o0299c
59695.3974,18.939,0.117,96,11,c,0,1.11,186.71753,54.03843,7144.45,4602.81,2.59,2.28,34.4,-0.404,19.48,21.36,02a59695o0370c
