MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59673.440775,-18.33,0.781,-169,132,c,0,0.81,209.21676,19.11711,1391.72,2802.65,2.55,2.34,43.0,-0.409,16.84,18.84,02a59673o0482c
59673.44306,16.237,0.358,1162,416,c,0,0.86,209.21676,19.11711,1411.2,2842.43,2.49,2.35,45.1,-0.416,15.51,17.36,02a59673o0487c
59673.445811,20.313,0.877,27,24,c,0,0.9,209.21676,19.11711,1352.5,2763.81,2.6,2.4,43.2,-0.419,18.55,20.55,02a59673o0493c
59673.456071,22.052,5.875,6,32,c,0,1.09,209.21676,19.11711,1336.46,2879.15,2.55,2.36,39.5,-0.419,17.82,19.77,02a59673o0515c
59676.506016,21.006,0.74,14,11,c,0,0.85,209.21676,19.11711,9099.87,3905.81,2.63,2.44,41.2,-0.394,19.64,21.72,02a59676o0568c
59676.509214,21.986,1.744,6,10,c,0,1.09,209.21676,19.11711,9080.56,3867.01,2.62,2.44,39.0,-0.39,19.62,21.72,02a59676o0575c
59676.514698,20.725,0.568,19,11,c,0,0.87,209.21676,19.11711,9137.86,3944.36,2.64,2.41,35.9,-0.391,19.6,21.7,02a59676o0587c
59676.524759,-23.166,5.846,-2,12,c,0,0.84,209.21676,19.11711,9158.11,3830.04,2.62,2.47,37.5,-0.39,19.6,21.69,02a59676o0609c
59677.418932,21.621,1.379,8,11,c,0,1.15,209.21676,19.11711,1499.68,6683.4,2.46,2.35,29.3,-0.418,19.41,21.34,02a59677o0418c
59677.421675,-21.92,1.511,-6,9,c,0,1.74,209.21676,19.11711,1519.22,6722.36,2.43,2.34,27.6,-0.424,19.48,21.35,02a59677o0424c
59677.424417,-21.581,1.426,-8,12,c,0,1.19,209.21676,19.11711,1460.0,6645.55,2.43,2.35,24.4,-0.422,19.49,21.38,02a59677o0430c
59677.436703,-21.299,1.025,-11,11,c,0,1.18,209.21676,19.11711,1434.75,6761.15,2.42,2.34,8.1,-0.42,19.53,21.49,02a59677o0454c
59678.37955,-20.948,1.108,-15,17,c,0,0.83,209.21676,19.11711,1496.72,6683.81,2.44,2.31,17.7,-0.42,19.2,20.94,02a59678o0347c
59678.38599,-21.943,2.524,-6,15,c,0,1.1,209.21676,19.11711,1515.63,6721.55,2.53,2.36,24.4,-0.413,19.23,20.96,02a59678o0361c
59678.396753,-21.661,1.825,-8,14,c,0,1.13,209.21676,19.11711,1459.02,6643.9,2.49,2.31,24.9,-0.413,19.24,21.01,02a59678o0382c
59678.399494,-20.322,0.403,-27,11,c,0,1.79,209.21676,19.11711,1439.13,6760.6,2.49,2.29,23.9,-0.42,19.28,21.03,02a59678o0388c
59680.408614,-21.978,3.0,-6,18,o,0,0.93,209.21676,19.11711,3348.74,6148.04,2.84,2.76,-22.8,-0.461,19.04,20.2,01a59680o0394o
59680.410437,-22.284,3.478,-4,15,o,0,1.49,209.21676,19.11711,3329.1,6108.91,2.89,2.79,-43.8,-0.461,19.1,20.25,01a59680o0398o
59680.413172,-23.053,7.909,-2,17,o,0,1.22,209.21676,19.11711,3388.32,6185.29,2.85,2.76,-41.6,-0.463,18.99,20.16,01a59680o0404o
59680.419637,-20.48,0.608,-23,14,o,0,1.33,209.21676,19.11711,3407.49,6066.68,2.86,2.73,-44.1,-0.468,19.07,20.26,01a59680o0418o
59681.371257,19.68,0.568,49,28,c,0,1.6,209.21676,19.11711,1490.07,6679.22,2.33,2.26,17.9,-0.439,18.56,20.09,02a59681o0299c
59681.383901,20.928,2.008,16,31,c,0,1.0,209.21676,19.11711,1508.78,6718.59,2.33,2.26,11.7,-0.433,18.59,20.13,02a59681o0325c
59681.385728,21.989,4.196,6,24,c,0,1.36,209.21676,19.11711,1450.62,6640.27,2.31,2.24,11.7,-0.428,18.59,20.14,02a59681o0329c
59681.388771,21.855,4.24,7,28,c,0,1.32,209.21676,19.11711,1430.7,6756.88,2.39,2.29,19.5,-0.421,18.58,20.18,02a59681o0335c
59682.393368,21.41,2.075,10,21,o,0,1.25,209.21676,19.11711,5351.43,9127.71,2.33,2.08,37.8,-0.418,18.85,19.36,02a59682o0349o
59682.396572,-20.094,0.711,-33,24,o,0,1.37,209.21676,19.11711,5371.91,9166.62,2.35,2.06,38.6,-0.421,18.9,19.43,02a59682o0356o
59682.402112,22.274,4.447,4,20,o,0,1.52,209.21676,19.11711,5314.23,9089.43,2.34,1.99,37.7,-0.433,18.98,19.47,02a59682o0368o
59682.413504,20.474,1.099,24,26,o,0,0.89,209.21676,19.11711,5288.17,9210.96,2.29,2.01,38.1,-0.424,18.91,19.43,02a59682o0392o
59683.396372,-21.495,3.745,-9,34,o,0,1.17,209.21676,19.11711,3348.65,6149.62,2.9,2.84,36.4,-0.466,18.48,19.29,01a59683o0352o
59683.398191,19.901,0.87,40,35,o,0,1.12,209.21676,19.11711,3328.71,6111.82,2.78,2.68,-58.3,-0.478,18.54,19.28,01a59683o0356o
59683.400926,20.426,1.415,24,35,o,0,1.06,209.21676,19.11711,3388.82,6188.34,2.63,2.63,42.0,-0.481,18.57,19.28,01a59683o0362o
59683.420053,-19.293,0.505,-70,35,o,0,0.98,209.21676,19.11711,3407.05,6065.77,2.74,2.67,-48.1,-0.487,18.47,19.19,01a59683o0403o
59689.368398,22.198,3.525,5,17,o,0,0.83,209.21676,19.11711,5350.41,9126.94,2.18,2.06,32.1,-0.423,19.12,19.89,02a59689o0304o
59689.371139,20.042,0.432,35,15,o,0,1.11,209.21676,19.11711,5371.02,9166.04,2.08,1.97,39.3,-0.436,19.18,19.89,02a59689o0310o
59689.37541,19.501,0.291,58,17,o,0,1.24,209.21676,19.11711,5313.65,9086.19,2.2,2.0,42.7,-0.436,19.13,19.85,02a59689o0319o
59689.380655,20.247,0.615,29,18,o,0,1.2,209.21676,19.11711,5292.49,9206.01,2.09,1.98,35.3,-0.444,19.14,19.81,02a59689o0330o
59690.449827,20.506,0.642,23,15,o,0,0.95,209.21676,19.11711,1499.51,8173.45,2.18,1.87,18.7,-0.442,19.27,20.22,02a59690o0480o
59690.453032,20.017,0.358,36,13,o,0,1.21,209.21676,19.11711,1480.5,8135.44,2.12,1.83,19.9,-0.457,19.31,20.21,02a59690o0487o
59690.458244,20.749,0.784,18,14,o,0,0.9,209.21676,19.11711,1538.11,8213.91,2.17,1.86,23.8,-0.445,19.28,20.18,02a59690o0498o
59690.468735,20.418,0.551,25,14,o,0,1.24,209.21676,19.11711,1556.9,8098.35,2.13,1.85,22.3,-0.438,19.29,20.15,02a59690o0520o
59692.371431,20.278,0.477,28,13,o,0,1.2,209.21676,19.11711,9441.15,1692.58,2.77,2.53,-53.0,-0.514,19.13,20.78,01a59692o0315o
59692.374713,19.527,0.273,56,15,o,0,1.24,209.21676,19.11711,9421.61,1653.75,2.82,2.52,-57.6,-0.514,19.28,20.72,01a59692o0322o
59692.401049,19.76,0.289,45,13,o,0,1.23,209.21676,19.11711,9481.87,1722.2,2.84,2.63,-57.6,-0.495,19.33,20.73,01a59692o0376o
59692.406688,19.388,0.228,64,15,o,0,0.96,209.21676,19.11711,9499.87,1602.45,2.81,2.61,-51.0,-0.494,19.35,20.78,01a59692o0388o
59693.42702,19.388,0.346,64,22,c,0,1.47,209.21676,19.11711,1497.16,8170.95,2.48,2.37,8.6,-0.421,18.77,20.68,02a59693o0434c
59693.430337,18.688,0.159,122,19,c,0,1.54,209.21676,19.11711,1478.48,8133.0,2.5,2.35,5.7,-0.42,18.81,20.71,02a59693o0441c
