MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59676.559114,24.731,25.0,0,12,c,0,1.3,233.50854,6.21884,5002.91,9406.25,2.72,2.42,38.3,-0.389,19.59,21.7,02a59676o0683c
59676.563259,-21.863,1.595,-6,10,c,0,1.32,233.50854,6.21884,4982.4,9365.96,2.68,2.44,42.1,-0.393,19.63,21.71,02a59676o0692c
59676.56968,-22.175,2.467,-5,12,c,0,1.03,233.50854,6.21884,5040.44,9444.26,2.77,2.51,42.4,-0.385,19.59,21.68,02a59676o0706c
59676.587548,-21.862,1.65,-6,11,c,0,1.48,233.50854,6.21884,5061.09,9329.63,2.8,2.47,37.3,-0.386,19.52,21.66,02a59676o0745c
59680.331677,20.067,0.918,34,31,c,0,1.12,233.50854,6.21884,5584.0,1174.46,2.4,2.31,-46.4,-0.422,18.08,19.52,02a59680o0229c
59680.335353,-20.605,1.654,-21,34,c,0,1.02,233.50854,6.21884,5606.38,1213.68,2.39,2.34,-59.2,-0.412,18.11,19.6,02a59680o0237c
59680.370673,19.556,0.414,55,23,c,0,1.15,233.50854,6.21884,5540.91,1133.91,2.33,2.25,-84.0,-0.428,18.48,20.08,02a59680o0313c
59680.3762,21.4,1.958,10,20,c,0,1.62,233.50854,6.21884,5527.16,1251.04,2.36,2.27,75.3,-0.419,18.57,20.14,02a59680o0325c
59680.449463,-21.514,2.22,-9,20,o,0,0.96,233.50854,6.21884,5726.76,1452.1,2.96,2.83,-39.2,-0.473,18.93,20.16,01a59680o0480o
59680.45174,20.255,0.872,29,25,o,0,1.87,233.50854,6.21884,5706.71,1413.09,2.82,2.71,-40.1,-0.484,18.29,19.47,01a59680o0485o
59680.528023,-18.936,0.662,-97,64,o,0,1.45,233.50854,6.21884,4783.41,9093.27,3.12,2.93,58.0,-0.42,17.82,19.18,01a59680o0515o
59682.400169,-21.2,1.846,-12,22,o,0,1.12,233.50854,6.21884,5729.96,1461.13,2.83,2.58,-47.2,-0.509,18.7,19.56,01a59682o0371o
59682.424296,20.97,1.253,15,19,o,0,1.2,233.50854,6.21884,5707.5,1421.93,2.72,2.48,-55.1,-0.522,18.85,19.69,01a59682o0423o
59682.429098,-20.878,1.223,-16,20,o,0,1.41,233.50854,6.21884,5767.65,1492.15,2.73,2.52,-36.5,-0.518,18.85,19.73,01a59682o0432o
