MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59679.508312,21.342,1.9,10,20,c,0,1.02,266.88202,45.304,8335.68,6788.4,3.03,2.52,32.4,-0.378,18.86,20.83,02a59679o0603c
59679.511525,-18.124,0.544,-204,111,c,0,1.09,266.88202,45.304,8354.93,6826.17,3.14,2.56,32.8,-0.375,17.32,19.14,02a59679o0610c
59679.518034,22.806,4.917,3,14,c,0,0.83,266.88202,45.304,8296.45,6751.28,3.04,2.5,31.8,-0.378,19.18,21.25,02a59679o0624c
59679.524514,20.969,0.803,15,12,c,0,1.05,266.88202,45.304,8276.48,6868.47,3.24,2.57,32.5,-0.369,19.46,21.58,02a59679o0636c
59679.637357,-20.347,0.539,-26,14,c,0,1.2,266.88202,45.304,2259.41,3775.24,2.56,2.24,28.7,-0.405,19.08,20.82,02a59679o0878c
59681.557061,-20.87,1.321,-16,22,o,0,0.88,266.88202,45.304,8763.58,5963.24,3.04,2.88,45.9,-0.435,18.98,20.06,01a59681o0719o
59681.560253,-20.659,0.784,-20,16,o,0,1.38,266.88202,45.304,8744.06,5922.72,2.91,2.84,-83.8,-0.454,19.02,20.13,01a59681o0726o
59681.564816,-20.729,0.891,-19,16,o,0,1.14,266.88202,45.304,8803.82,5999.74,3.0,2.91,49.4,-0.437,19.05,20.23,01a59681o0736o
59681.57212,-20.643,0.893,-20,18,o,0,0.77,266.88202,45.304,8821.47,5881.6,2.93,2.86,47.6,-0.447,19.14,20.37,01a59681o0752o
59683.498759,-19.628,0.523,-51,27,o,0,0.8,266.88202,45.304,536.55,9185.38,2.14,1.97,-51.8,-0.496,18.8,19.4,02a59683o0578o
59683.504774,-18.303,1.505,-173,261,o,0,1.35,266.88202,45.304,563.7,9227.53,2.26,2.03,-43.4,-0.51,16.63,16.71,02a59683o0591o
59683.515766,-17.786,0.896,-279,250,o,0,1.19,266.88202,45.304,502.32,9149.34,2.05,1.93,-40.7,-0.549,16.34,16.42,02a59683o0615o
