MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59677.269717,21.405,1.788,10,18,c,0,1.53,133.72169,39.44373,2242.56,2617.48,2.42,2.31,40.6,-0.407,18.68,20.21,02a59677o0114c
59677.272917,20.765,1.134,18,20,c,0,1.22,133.72169,39.44373,2222.4,2577.77,2.35,2.3,41.2,-0.415,18.8,20.36,02a59677o0121c
59677.279141,21.752,2.49,7,18,c,0,1.74,133.72169,39.44373,2280.49,2654.91,2.44,2.37,35.1,-0.413,18.8,20.42,02a59677o0133c
59677.292,21.398,1.851,10,19,c,0,0.96,133.72169,39.44373,2299.08,2537.56,2.33,2.28,52.6,-0.416,18.97,20.48,02a59677o0161c
59677.309803,-20.455,0.63,-24,15,o,0,1.44,133.72169,39.44373,5432.67,2164.29,2.92,2.8,-58.7,-0.473,19.04,20.16,01a59677o0129o
59677.31345,24.188,23.0,1,18,o,0,0.78,133.72169,39.44373,5454.19,2203.56,2.85,2.75,-48.5,-0.48,19.06,20.16,01a59677o0137o
59677.318952,-19.748,0.361,-46,16,o,0,1.34,133.72169,39.44373,5396.69,2128.07,2.9,2.84,-39.7,-0.467,19.04,20.16,01a59677o0149o
59677.328982,20.942,1.012,15,15,o,0,1.2,133.72169,39.44373,5384.1,2246.07,2.73,2.69,-33.6,-0.482,19.06,20.17,01a59677o0171o
59679.286189,-19.077,1.536,-85,130,c,0,0.97,133.72169,39.44373,2233.09,2614.52,2.56,2.33,34.3,-0.426,16.65,18.22,02a59679o0123c
59679.289477,-17.572,0.471,-340,160,c,0,1.55,133.72169,39.44373,2213.7,2574.85,2.48,2.4,47.3,-0.432,16.4,17.9,02a59679o0130c
59679.307387,-16.28,1.079,-1116,1204,c,0,1.04,133.72169,39.44373,2293.46,2532.37,2.52,2.38,43.8,-0.481,14.52,16.03,02a59679o0169c
59681.275549,-21.009,2.348,-14,34,c,0,1.26,133.72169,39.44373,2241.35,2618.81,2.76,2.55,-30.0,-0.389,18.12,19.72,02a59681o0098c
59681.287473,20.102,1.04,33,34,c,0,1.15,133.72169,39.44373,2219.95,2576.69,2.79,2.59,-47.5,-0.388,18.03,19.7,02a59681o0123c
59681.29314,-19.765,0.795,-45,36,c,0,1.35,133.72169,39.44373,2279.2,2653.62,2.64,2.44,-30.1,-0.399,18.09,19.7,02a59681o0134c
59681.297406,-22.106,7.25,-5,38,c,0,0.94,133.72169,39.44373,2300.07,2534.47,2.78,2.54,-18.2,-0.387,18.01,19.69,02a59681o0143c
59681.333907,-23.073,17.818,-2,38,o,0,1.15,133.72169,39.44373,7841.16,5673.96,2.88,2.74,-53.3,-0.485,18.54,19.27,01a59681o0233o
59681.3371,-22.45,10.263,-4,39,o,0,0.94,133.72169,39.44373,7862.85,5712.88,2.93,2.81,-55.9,-0.474,18.52,19.26,01a59681o0240o
59681.34395,21.154,3.094,12,39,o,0,1.33,133.72169,39.44373,7804.58,5639.43,2.88,2.78,-60.1,-0.476,18.54,19.25,01a59681o0255o
59681.356268,-20.373,1.504,-26,39,o,0,1.31,133.72169,39.44373,7790.9,5759.39,2.89,2.77,-60.2,-0.481,18.48,19.2,01a59681o0282o
59682.351221,-21.205,1.79,-12,21,o,0,1.37,133.72169,39.44373,1610.1,10405.89,1.99,1.7,-48.3,-0.49,18.7,19.07,02a59682o0260o
59682.356802,-23.267,20.588,-2,37,o,0,0.51,133.72169,39.44373,1591.77,10368.42,1.96,1.69,-44.9,-0.548,18.58,18.86,02a59682o0272o
59682.358633,19.987,0.621,37,23,o,0,0.76,133.72169,39.44373,6369.34,165.05,1.93,1.74,-82.5,-0.438,18.69,19.03,02a59682o0276o
59682.360005,20.416,1.833,25,45,o,0,0.78,133.72169,39.44373,1649.2,10442.28,2.08,1.67,-47.2,-0.482,18.21,18.54,02a59682o0279o
59682.363795,20.978,1.641,15,24,o,0,0.86,133.72169,39.44373,6350.42,125.21,1.93,1.72,-87.6,-0.464,18.72,19.06,02a59682o0287o
59682.3681,21.044,1.469,14,20,o,0,1.09,133.72169,39.44373,6414.63,199.26,1.97,1.78,-74.0,-0.46,18.71,19.03,02a59682o0296o
59682.372409,-20.399,0.972,-25,24,o,0,1.02,133.72169,39.44373,1671.5,10321.34,2.03,1.67,-50.6,-0.549,18.62,18.98,02a59682o0305o
59682.378451,-20.813,1.162,-17,20,o,0,1.33,133.72169,39.44373,6432.35,84.58,1.94,1.72,83.8,-0.466,18.66,19.0,02a59682o0317o
59683.321899,20.635,1.667,20,34,o,0,1.27,133.72169,39.44373,7831.28,5672.09,2.86,2.84,19.2,-0.463,18.55,19.35,01a59683o0195o
59683.326491,25.693,186.0,0,36,o,0,1.22,133.72169,39.44373,7854.92,5711.04,2.85,2.84,-20.1,-0.461,18.58,19.36,01a59683o0205o
59683.332875,-22.283,8.909,-4,40,o,0,0.78,133.72169,39.44373,7794.55,5638.36,2.94,2.89,-34.5,-0.454,18.55,19.33,01a59683o0219o
59683.345366,20.737,1.888,18,35,o,0,1.31,133.72169,39.44373,7782.38,5755.9,2.99,2.98,66.3,-0.443,18.52,19.32,01a59683o0246o
59683.346647,21.224,1.895,12,22,o,0,1.43,133.72169,39.44373,6363.01,158.83,2.18,1.97,-88.1,-0.461,18.74,19.15,02a59683o0247o
59683.349847,19.966,0.598,38,22,o,0,1.32,133.72169,39.44373,6344.0,119.12,1.98,1.77,-89.3,-0.482,18.72,19.12,02a59683o0254o
59683.356737,20.31,0.979,27,27,o,0,0.92,133.72169,39.44373,6402.95,197.12,2.2,2.0,79.9,-0.429,18.64,19.12,02a59683o0269o
59683.368659,-20.062,0.669,-34,23,o,0,1.49,133.72169,39.44373,6427.89,79.57,2.2,1.98,-81.9,-0.439,18.64,19.05,02a59683o0295o
59684.272131,-21.348,2.915,-10,31,o,0,1.28,133.72169,39.44373,7818.7,5664.67,2.74,2.67,-67.1,-0.486,18.66,19.39,01a59684o0061o
59684.280394,-20.098,1.043,-33,35,o,0,0.84,133.72169,39.44373,7840.8,5703.06,2.74,2.68,-59.2,-0.483,18.66,19.39,01a59684o0079o
59684.292169,-22.664,11.222,-3,35,o,0,0.98,133.72169,39.44373,7782.76,5628.18,2.7,2.65,-64.3,-0.484,18.63,19.36,01a59684o0104o
59684.295394,23.388,21.222,2,34,o,0,1.0,133.72169,39.44373,7768.17,5746.65,2.75,2.66,-57.0,-0.486,18.58,19.36,01a59684o0111o
59685.283168,16.784,1.169,702,820,o,0,1.93,133.72169,39.44373,7824.83,5667.39,2.87,2.75,30.0,-0.472,15.37,15.45,01a59685o0110o
59685.28636,-21.179,5.679,-12,70,o,0,1.67,133.72169,39.44373,7847.32,5706.67,2.76,2.65,24.9,-0.468,17.83,18.3,01a59685o0117o
59685.292282,16.337,0.406,1060,430,o,0,1.9,133.72169,39.44373,7788.68,5632.48,2.87,2.75,29.5,-0.492,16.21,16.4,01a59685o0130o
59687.277399,22.675,4.297,3,13,o,0,2.02,133.72169,39.44373,6368.95,156.59,1.85,1.6,-71.5,-0.497,19.06,19.56,02a59687o0113o
59687.280629,21.418,1.38,10,14,o,0,1.82,133.72169,39.44373,6348.7,115.96,1.85,1.63,-76.1,-0.47,19.03,19.53,02a59687o0120o
59687.2866,-22.368,3.891,-4,16,o,0,1.71,133.72169,39.44373,6408.59,194.23,1.93,1.66,-67.0,-0.482,19.01,19.49,02a59687o0133o
59687.297571,-20.99,1.348,-15,20,o,0,1.34,133.72169,39.44373,6430.73,76.52,1.86,1.62,-78.3,-0.47,18.93,19.33,02a59687o0157o
59689.290585,22.319,3.5,4,15,o,0,1.19,133.72169,39.44373,1624.02,10416.41,2.37,1.66,-52.4,-0.5,19.38,20.48,02a59689o0138o
59689.296142,21.419,1.391,10,14,o,0,1.38,133.72169,39.44373,1606.56,10378.76,2.23,1.69,-52.7,-0.443,19.37,20.43,02a59689o0150o
59689.305357,-22.369,4.0,-4,16,o,0,0.9,133.72169,39.44373,1662.05,10454.2,2.37,1.8,-56.9,-0.49,19.32,20.41,02a59689o0170o
59689.308367,-21.684,2.028,-8,16,o,0,0.65,133.72169,39.44373,1680.94,10334.29,2.18,1.69,-49.4,-0.442,19.41,20.41,02a59689o0176o
59689.332902,21.699,2.056,8,16,o,0,1.4,133.72169,39.44373,10388.39,9946.25,3.05,2.89,73.7,-0.401,19.15,20.41,01a59689o0074o
59689.336546,21.593,2.095,8,18,o,0,0.97,133.72169,39.44373,10413.31,9986.2,3.02,2.82,66.8,-0.407,19.12,20.35,01a59689o0082o
59689.346124,20.588,0.913,21,19,o,0,1.07,133.72169,39.44373,10350.33,9913.96,3.05,2.86,73.6,-0.409,18.98,20.06,01a59689o0103o
59689.348874,21.539,2.16,9,19,o,0,1.5,133.72169,39.44373,147.33,10173.45,2.77,2.33,-57.7,-0.584,19.0,20.08,01a59689o0109o
59689.356179,-20.268,0.834,-28,24,o,0,0.8,133.72169,39.44373,169.67,10213.79,2.81,2.35,-57.3,-0.571,18.91,19.9,01a59689o0125o
59689.356634,-24.404,32.667,-1,20,o,0,1.32,133.72169,39.44373,10334.16,10037.55,3.13,2.92,75.3,-0.398,18.83,19.78,01a59689o0126o
59689.360741,21.285,2.255,11,25,o,0,1.2,133.72169,39.44373,109.45,10134.43,3.33,2.81,-54.6,-0.511,18.73,19.84,01a59689o0135o
59689.380382,-18.915,0.359,-99,35,o,0,1.08,133.72169,39.44373,89.93,10254.18,3.84,3.38,-65.8,-0.438,18.37,19.58,01a59689o0178o
59691.30299,-18.977,1.135,-93,106,c,0,1.01,133.72169,39.44373,859.71,6921.89,2.55,2.27,-50.2,-0.428,16.96,18.54,02a59691o0069c
59691.3094,18.405,0.519,158,82,c,0,1.23,133.72169,39.44373,839.77,6882.45,2.5,2.21,-50.7,-0.429,17.49,19.05,02a59691o0083c
59691.319951,21.078,21.667,13,291,c,0,1.46,133.72169,39.44373,896.9,6956.39,2.49,2.18,-49.0,-0.435,15.28,16.84,02a59691o0106c
59691.323191,-20.585,114.0,-21,2415,c,0,1.32,133.72169,39.44373,918.12,6838.7,2.5,2.13,-53.4,-0.437,14.71,16.33,02a59691o0113c
59693.261997,21.582,1.556,8,13,o,0,1.53,133.72169,39.44373,10379.59,9932.67,2.99,2.76,48.3,-0.416,19.29,20.59,01a59693o0089o
59693.265198,-21.338,1.333,-11,14,o,0,1.29,133.72169,39.44373,10402.63,9971.69,3.07,2.83,48.4,-0.395,19.3,20.61,01a59693o0096o
59693.270663,-20.399,0.576,-25,14,o,0,1.26,133.72169,39.44373,10339.97,9897.52,3.01,2.79,47.7,-0.404,19.33,20.6,01a59693o0108o
59693.272029,20.63,0.713,20,14,o,0,1.43,133.72169,39.44373,135.32,10167.97,2.53,2.2,-60.6,-0.598,19.32,20.64,01a59693o0111o
59693.275217,19.849,0.39,42,16,o,0,0.9,133.72169,39.44373,157.81,10208.56,2.58,2.25,-63.5,-0.581,19.19,20.52,01a59693o0118o
59693.280696,-20.57,0.75,-22,16,o,0,1.16,133.72169,39.44373,96.86,10130.32,2.54,2.21,-63.1,-0.585,19.25,20.57,01a59693o0130o
59693.28297,21.495,1.652,9,15,o,0,1.18,133.72169,39.44373,10325.61,10019.35,3.0,2.85,57.5,-0.405,19.22,20.53,01a59693o0135o
59693.292104,20.409,0.568,25,14,o,0,1.32,133.72169,39.44373,80.04,10248.82,2.64,2.3,-65.1,-0.588,19.26,20.61,01a59693o0155o
59695.256127,20.698,0.531,19,10,c,0,2.17,133.72169,39.44373,860.28,6913.67,2.38,2.24,-17.9,-0.425,19.42,21.18,02a59695o0063c
59695.259338,20.949,0.661,15,10,c,0,1.74,133.72169,39.44373,840.36,6875.7,2.43,2.26,6.0,-0.413,19.39,21.2,02a59695o0070c
59695.265282,20.415,0.446,25,11,c,0,1.45,133.72169,39.44373,897.54,6951.09,2.41,2.31,-15.9,-0.42,19.42,21.2,02a59695o0083c
59695.275428,21.332,1.163,11,12,c,0,1.13,133.72169,39.44373,917.96,6832.72,2.4,2.27,-34.8,-0.425,19.42,21.19,02a59695o0105c
59696.334846,20.365,0.528,26,14,o,0,1.25,133.72169,39.44373,3054.83,52.52,2.77,2.67,-68.2,-0.449,19.22,20.59,01a59696o0238o
59696.338073,20.333,0.544,27,14,o,0,0.85,133.72169,39.44373,3074.86,92.57,2.74,2.67,-56.5,-0.451,19.23,20.58,01a59696o0245o
59696.357024,20.242,0.506,29,15,o,0,1.39,133.72169,39.44373,3004.48,134.11,2.71,2.63,-37.8,-0.468,19.22,20.46,01a59696o0286o
59697.342406,20.761,0.92,18,17,o,0,1.07,133.72169,39.44373,8360.74,10141.28,2.86,2.69,67.3,-0.46,19.18,20.43,01a59697o0051o
59697.347936,19.641,0.515,50,26,o,0,1.28,133.72169,39.44373,8382.58,10181.37,2.85,2.69,73.6,-0.466,18.72,19.97,01a59697o0063o
59697.358068,-20.076,0.82,-34,28,o,0,1.42,133.72169,39.44373,8319.53,10108.38,3.11,2.66,51.7,-0.443,18.12,19.37,01a59697o0085o
59697.361756,-20.776,1.458,-18,26,o,0,1.12,133.72169,39.44373,8302.02,10228.08,3.11,2.69,55.0,-0.443,18.74,19.97,01a59697o0093o
59698.33408,19.842,0.288,42,12,c,0,1.27,133.72169,39.44373,7070.65,8823.42,2.71,2.4,29.3,-0.407,19.52,21.1,02a59698o0185c
59698.337292,19.751,0.274,46,12,c,0,1.34,133.72169,39.44373,7051.6,8783.66,2.75,2.39,28.2,-0.404,19.5,21.09,02a59698o0192c
59698.342787,19.451,0.194,60,12,c,0,1.36,133.72169,39.44373,7108.91,8861.44,2.79,2.45,27.2,-0.399,19.46,21.05,02a59698o0204c
59698.35514,21.035,0.831,14,12,c,0,1.36,133.72169,39.44373,7129.21,8742.9,2.87,2.5,28.8,-0.394,19.41,21.02,02a59698o0231c
59699.272149,-20.596,3.786,-21,79,c,0,0.89,133.72169,39.44373,7074.34,8818.26,2.7,2.46,34.2,-0.402,17.57,18.76,02a59699o0096c
59699.275841,-22.544,11.0,-4,38,c,0,0.93,133.72169,39.44373,7055.07,8777.73,2.61,2.51,37.8,-0.403,18.25,19.5,02a59699o0104c
59699.282712,20.786,1.83,18,32,c,0,0.81,133.72169,39.44373,7111.49,8856.94,2.62,2.47,30.1,-0.407,18.6,19.86,02a59699o0119c
59699.293728,16.512,0.403,902,364,c,0,1.35,133.72169,39.44373,7128.26,8740.16,2.81,2.57,33.4,-0.422,16.39,17.64,02a59699o0143c
59699.316081,-18.491,0.52,-146,76,o,0,1.47,133.72169,39.44373,3049.47,48.14,2.55,2.47,-50.2,-0.473,17.55,18.54,01a59699o0203o
59699.31932,18.734,1.275,116,148,o,0,1.65,133.72169,39.44373,3069.98,88.16,2.64,2.53,-55.9,-0.5,16.89,17.97,01a59699o0210o
59699.338216,-22.641,39.0,-3,124,o,0,1.36,133.72169,39.44373,2999.87,129.88,2.58,2.52,68.1,-0.458,16.67,17.74,01a59699o0251o
59709.245041,19.243,0.28,73,20,o,0,1.23,133.72169,39.44373,7319.57,2007.09,2.66,2.58,-50.4,-0.493,18.79,19.46,01a59709o0028o
59709.249189,18.934,0.207,97,20,o,0,1.31,133.72169,39.44373,7341.39,2046.16,2.69,2.55,-45.7,-0.497,18.81,19.52,01a59709o0037o
59709.254719,18.864,0.19,103,20,o,0,1.2,133.72169,39.44373,7285.86,1971.24,2.65,2.56,-40.9,-0.498,18.84,19.53,01a59709o0049o
59709.26584,18.787,0.18,111,20,o,0,1.29,133.72169,39.44373,7272.89,2090.31,2.72,2.48,-51.8,-0.517,18.83,19.51,01a59709o0073o
59711.241374,18.846,0.316,105,33,o,0,0.98,133.72169,39.44373,770.31,4983.04,2.41,2.33,-30.6,-0.395,18.24,18.47,02a59711o0014o
59711.244584,18.364,0.231,164,38,o,0,0.8,133.72169,39.44373,750.63,4942.35,2.59,2.42,-46.5,-0.408,18.13,18.54,02a59711o0021o
59711.250145,18.869,0.349,103,36,o,0,1.05,133.72169,39.44373,809.17,5018.28,2.4,2.28,-43.0,-0.418,18.24,18.58,02a59711o0033o
59711.260196,18.738,0.19,116,22,o,0,0.74,133.72169,39.44373,7322.47,2006.95,2.62,2.58,6.9,-0.491,18.87,19.65,01a59711o0059o
59711.263375,19.03,0.306,89,27,o,0,1.5,133.72169,39.44373,827.31,4899.74,2.55,2.5,-31.5,-0.397,18.22,18.79,02a59711o0058o
59711.266407,18.76,0.176,114,20,o,0,1.38,133.72169,39.44373,7343.82,2045.28,2.65,2.51,-43.2,-0.51,18.8,19.6,01a59711o0072o
59711.270551,19.036,0.197,88,17,o,0,1.71,133.72169,39.44373,7286.48,1971.39,2.62,2.51,-39.2,-0.512,18.89,19.66,01a59711o0081o
59711.280323,18.752,0.199,115,23,o,0,1.18,133.72169,39.44373,7272.34,2090.93,2.67,2.51,-49.5,-0.513,18.88,19.6,01a59711o0102o
59713.257004,18.587,0.215,133,29,o,0,1.12,133.72169,39.44373,10377.46,7688.25,2.85,2.66,-70.1,-0.423,18.82,19.49,01a59713o0064o
59713.26069,19.342,0.418,67,28,o,0,1.09,133.72169,39.44373,10399.77,7727.4,2.89,2.67,-68.5,-0.419,18.76,19.48,01a59713o0072o
59713.268091,18.692,0.257,121,31,o,0,0.95,133.72169,39.44373,10339.34,7654.45,2.9,2.72,-73.0,-0.416,18.77,19.46,01a59713o0088o
59713.270412,18.99,0.265,92,24,o,0,1.39,133.72169,39.44373,365.88,7919.14,2.68,2.3,-50.2,-0.474,18.77,19.51,01a59713o0093o
59713.273639,18.653,0.216,126,27,o,0,0.95,133.72169,39.44373,387.98,7958.69,2.62,2.34,-54.7,-0.462,18.76,19.51,01a59713o0100o
59713.281007,18.971,0.23,94,22,o,0,1.7,133.72169,39.44373,328.08,7880.29,2.54,2.27,-54.4,-0.475,18.82,19.47,01a59713o0116o
59713.281467,18.638,0.223,127,28,o,0,1.45,133.72169,39.44373,10326.71,7777.84,2.82,2.7,-82.6,-0.413,18.75,19.39,01a59713o0117o
59713.29805,20.29,1.023,28,28,o,0,1.38,133.72169,39.44373,314.31,7998.21,2.72,2.37,-50.3,-0.459,18.67,19.37,01a59713o0153o
59715.302874,18.464,0.209,149,31,o,0,1.23,133.72169,39.44373,8491.43,598.11,2.08,1.61,-59.2,-0.502,18.5,18.6,02a59715o0157o
59715.306532,19.554,0.587,55,32,o,0,1.68,133.72169,39.44373,8471.84,558.09,2.17,1.66,-59.4,-0.488,18.37,18.48,02a59715o0165o
59715.312015,18.897,0.291,100,29,o,0,1.45,133.72169,39.44373,8533.15,638.9,2.21,1.77,-60.1,-0.458,18.39,18.57,02a59715o0177o
59715.322069,18.674,0.272,123,34,o,0,0.89,133.72169,39.44373,8556.0,519.89,2.04,1.57,-61.0,-0.499,18.48,18.62,02a59715o0199o
59717.241892,18.901,0.19,100,19,o,0,1.39,133.72169,39.44373,355.05,7917.85,2.79,2.5,-57.9,-0.438,18.92,19.93,01a59717o0019o
59717.245112,19.249,0.296,72,21,o,0,0.86,133.72169,39.44373,380.46,7957.76,3.12,2.74,-50.7,-0.415,18.93,20.12,01a59717o0026o
59717.250641,18.939,0.168,96,16,o,0,1.26,133.72169,39.44373,323.4,7878.06,3.09,2.72,-51.2,-0.415,19.05,20.35,01a59717o0038o
59717.26307,19.053,0.222,87,19,o,0,1.18,133.72169,39.44373,308.57,7996.06,3.53,3.07,-47.4,-0.38,19.07,20.46,01a59717o0065o
59721.246709,18.832,0.206,106,22,o,0,1.07,133.72169,39.44373,5809.69,3906.89,2.62,2.48,-49.2,-0.498,18.84,19.6,01a59721o0033o
59721.252714,19.134,0.195,81,16,o,0,1.31,133.72169,39.44373,5831.55,3946.61,2.65,2.45,-48.7,-0.499,19.11,20.14,01a59721o0046o
59721.257778,19.65,0.316,50,16,o,0,0.96,133.72169,39.44373,5773.66,3872.26,2.62,2.57,22.6,-0.478,19.16,20.25,01a59721o0057o
59721.267918,19.23,0.192,74,14,o,0,1.22,133.72169,39.44373,5759.64,3990.48,2.63,2.6,21.6,-0.477,19.16,20.26,01a59721o0079o
59723.247756,18.889,0.224,101,23,c,0,1.12,133.72169,39.44373,6623.23,6589.47,2.6,2.21,29.6,-0.404,18.79,19.76,02a59723o0025c
59723.251465,18.911,0.171,99,17,c,0,0.9,133.72169,39.44373,6603.88,6548.79,2.6,2.22,30.6,-0.407,19.21,20.3,02a59723o0033c
59723.257458,19.211,0.185,75,14,c,0,1.06,133.72169,39.44373,6659.61,6624.86,2.59,2.23,30.6,-0.411,19.4,20.7,02a59723o0046c
59723.270797,19.119,0.146,82,12,c,0,1.21,133.72169,39.44373,6679.32,6507.24,2.64,2.24,30.9,-0.407,19.45,20.82,02a59723o0075c
59729.246145,17.434,0.865,386,334,o,0,1.22,133.72169,39.44373,5893.75,5841.99,2.66,2.61,3.0,-0.463,16.31,16.8,01a59729o0020o
59729.249367,18.415,1.433,156,224,o,0,1.42,133.72169,39.44373,5916.44,5881.32,2.73,2.55,33.1,-0.458,16.41,17.17,01a59729o0027o
59729.259499,20.461,1.012,24,24,o,0,1.45,133.72169,39.44373,5861.49,5807.83,2.69,2.57,32.9,-0.453,18.5,19.59,01a59729o0049o
59729.265942,21.552,3.429,9,30,o,0,1.99,133.72169,39.44373,5845.65,5925.37,2.69,2.56,36.5,-0.459,18.09,19.13,01a59729o0063o
59730.282935,-15.33,0.761,-2678,2037,c,0,0.44,133.72169,39.44373,9231.56,10523.06,3.43,3.31,24.7,-0.351,17.05,18.32,02a59730o0097c
59730.300771,19.172,14.818,78,1153,c,0,1.03,133.72169,39.44373,9307.58,10485.54,3.34,3.02,23.3,-0.455,15.03,16.29,02a59730o0136c
