MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59689.489791,20.864,1.506,16,25,o,0,1.46,250.51466,63.2212,1102.47,6082.5,2.9,2.59,-47.6,-0.487,18.75,19.6,01a59689o0417o
59689.491613,22.439,7.381,4,28,o,0,1.14,250.51466,63.2212,1081.79,6044.12,2.81,2.61,-49.0,-0.482,18.74,19.6,01a59689o0421o
59689.497088,-20.355,1.007,-26,26,o,0,1.41,250.51466,63.2212,1141.62,6116.32,2.88,2.58,-47.7,-0.493,18.73,19.54,01a59689o0433o
59689.5085,-20.978,1.933,-15,28,o,0,0.94,250.51466,63.2212,1158.42,5999.14,2.98,2.67,-49.4,-0.473,18.72,19.64,01a59689o0458o
59689.574347,-20.422,0.967,-25,24,o,0,1.19,250.51466,63.2212,157.15,4712.01,2.87,2.68,-49.6,-0.528,18.64,19.58,01a59689o0601o
59689.601848,-20.701,1.154,-19,22,o,0,0.94,250.51466,63.2212,184.79,4755.7,2.76,2.65,-54.6,-0.514,18.77,19.81,01a59689o0660o
59689.604643,-21.191,2.038,-12,25,o,0,1.1,250.51466,63.2212,119.59,4673.63,3.23,2.88,-53.6,-0.509,18.74,19.78,01a59689o0666o
59689.611634,19.084,0.266,84,22,o,0,1.49,250.51466,63.2212,105.82,4789.37,3.1,2.76,-50.8,-0.512,18.8,19.82,01a59689o0681o
59693.471652,20.305,0.632,27,17,o,0,1.61,250.51466,63.2212,1105.22,6076.54,2.69,2.52,-50.9,-0.5,18.97,20.16,01a59693o0542o
59693.473473,25.624,80.0,0,16,o,0,1.5,250.51466,63.2212,1085.32,6038.8,2.62,2.52,-55.8,-0.492,18.85,20.06,01a59693o0546o
59693.476204,-20.816,1.414,-17,24,o,0,2.13,250.51466,63.2212,1145.41,6110.5,2.61,2.54,-70.8,-0.491,18.95,20.17,01a59693o0552o
59693.481266,-21.555,1.824,-9,16,o,0,1.46,250.51466,63.2212,1162.46,5993.27,2.67,2.55,-52.8,-0.493,19.09,20.34,01a59693o0563o
59693.481721,-20.339,0.635,-27,17,o,0,1.36,250.51466,63.2212,10359.63,5941.12,2.85,2.77,37.3,-0.468,19.12,20.3,01a59693o0564o
59693.485274,-20.792,1.216,-18,21,o,0,0.85,250.51466,63.2212,10341.68,5898.09,2.87,2.85,57.7,-0.459,19.12,20.3,01a59693o0571o
