MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59580.533646,-20.071,0.292,-34,10,o,0,1.57,168.55602,11.52671,4591.98,7132.46,2.72,2.61,-50.6,-0.472,19.4,20.99,01a59580o0337o
59580.535486,20.785,0.63,18,11,o,0,1.4,168.55602,11.52671,4573.02,7093.59,2.78,2.67,-47.2,-0.463,19.4,21.0,01a59580o0341o
59580.541021,21.4,1.0,10,10,o,0,1.81,168.55602,11.52671,4634.92,7170.28,2.71,2.62,-48.3,-0.468,19.42,21.02,01a59580o0353o
59580.547478,20.623,0.566,20,12,o,0,1.39,168.55602,11.52671,4654.5,7052.52,2.8,2.74,-52.4,-0.457,19.4,21.05,01a59580o0367o
59587.531071,18.632,0.108,128,14,c,0,0.73,168.55602,11.52671,7424.5,8983.86,2.6,2.52,43.5,-0.408,19.66,21.64,02a59587o0727c
59587.53565,18.747,0.097,115,11,c,0,1.36,168.55602,11.52671,7443.3,9022.54,2.66,2.55,38.2,-0.406,19.61,21.64,02a59587o0737c
59587.57089,18.497,0.084,145,12,c,0,1.24,168.55602,11.52671,7386.84,8948.53,2.6,2.52,39.3,-0.408,19.63,21.66,02a59587o0810c
59587.590191,18.832,0.094,106,10,c,0,1.29,168.55602,11.52671,7371.06,9066.53,2.67,2.52,38.2,-0.405,19.66,21.68,02a59587o0849c
59589.500708,18.528,0.09,141,13,o,0,1.33,168.55602,11.52671,6663.17,3611.22,3.06,3.02,-19.6,-0.445,19.31,21.12,01a59589o0622o
59589.502551,19.016,0.134,90,12,o,0,1.41,168.55602,11.52671,6644.07,3572.71,3.06,3.03,3.7,-0.444,19.33,21.12,01a59589o0626o
59589.513874,18.811,0.119,109,13,o,0,0.92,168.55602,11.52671,6707.45,3645.04,3.17,3.14,17.9,-0.445,19.29,21.14,01a59589o0650o
59589.519488,18.574,0.092,135,12,o,0,1.18,168.55602,11.52671,6727.74,3528.64,3.11,3.09,-46.2,-0.438,19.34,21.15,01a59589o0661o
59591.493908,18.509,0.101,143,14,o,0,1.43,168.55602,11.52671,7425.4,8983.38,2.24,2.2,-43.7,-0.438,19.2,20.07,02a59591o0619o
59591.495742,18.7,0.145,120,18,o,0,1.04,168.55602,11.52671,7444.81,9023.22,2.25,2.18,-62.4,-0.429,19.19,20.08,02a59591o0623o
59591.505894,18.536,0.117,140,16,o,0,1.07,168.55602,11.52671,7383.83,8945.35,2.17,2.14,-79.5,-0.444,19.28,20.16,02a59591o0645o
59591.512812,18.775,0.14,112,16,o,0,1.44,168.55602,11.52671,7364.39,9062.23,2.22,2.17,-73.9,-0.44,19.28,20.23,02a59591o0660o
59593.533943,18.874,0.174,102,18,o,0,1.07,168.55602,11.52671,6804.38,5535.29,2.86,2.81,-48.3,-0.45,19.07,20.16,01a59593o0720o
59593.538224,18.751,0.148,115,17,o,0,1.12,168.55602,11.52671,6786.94,5496.26,3.19,3.1,-61.6,-0.441,18.95,20.19,01a59593o0729o
59593.561498,18.694,0.154,121,19,o,0,1.25,168.55602,11.52671,6857.11,5567.2,3.25,3.18,-48.7,-0.436,18.99,20.31,01a59593o0775o
59593.564261,18.705,0.142,120,17,o,0,0.99,168.55602,11.52671,6875.22,5449.61,2.97,2.89,-57.7,-0.457,19.1,20.33,01a59593o0781o
59596.478887,18.56,0.271,137,37,o,0,1.27,168.55602,11.52671,6787.32,5551.41,2.97,2.84,-65.5,-0.467,18.51,19.19,01a59596o0619o
59596.482125,18.889,0.462,101,47,o,0,0.7,168.55602,11.52671,6768.6,5511.04,2.85,2.62,-59.2,-0.481,18.58,19.21,01a59596o0626o
59596.491243,19.451,0.566,60,34,o,0,1.33,168.55602,11.52671,6832.0,5585.3,2.82,2.77,-60.3,-0.473,18.6,19.25,01a59596o0645o
59596.500469,19.039,0.329,88,29,o,0,1.27,168.55602,11.52671,6853.55,5467.29,2.75,2.72,-66.4,-0.477,18.6,19.3,01a59596o0665o
59597.434899,18.758,0.482,114,55,o,0,0.66,168.55602,11.52671,6775.76,5556.7,2.76,2.63,-54.0,-0.492,18.31,18.67,01a59597o0511o
59597.436741,16.257,0.054,1141,61,o,0,135.21,168.55602,11.52671,6756.32,5518.29,2.88,2.74,-56.9,-0.472,18.25,18.68,01a59597o0515o
59597.44228,18.414,0.363,156,57,o,0,0.79,168.55602,11.52671,6816.61,5591.85,2.81,2.78,-77.8,-0.478,18.27,18.72,01a59597o0527o
59597.45012,19.353,0.802,66,53,o,0,1.2,168.55602,11.52671,6837.73,5476.77,2.74,2.7,-57.6,-0.477,18.29,18.76,01a59597o0544o
59603.564854,19.288,0.236,70,16,o,0,0.75,168.55602,11.52671,681.11,7308.21,2.31,2.13,-27.8,-0.43,19.19,20.14,02a59603o0643o
59603.567916,20.257,0.506,29,14,o,0,0.92,168.55602,11.52671,663.03,7270.16,2.26,2.07,-32.5,-0.438,19.23,20.22,02a59603o0649o
59603.57383,20.319,0.571,27,16,o,0,1.05,168.55602,11.52671,721.36,7348.83,2.26,2.04,-23.5,-0.437,19.23,20.15,02a59603o0661o
59603.607,19.262,0.244,72,18,o,0,0.89,168.55602,11.52671,736.52,7231.0,2.26,2.12,-43.1,-0.446,19.22,20.16,02a59603o0729o
59605.517186,19.847,0.328,42,14,o,0,1.56,168.55602,11.52671,1138.88,1748.54,2.95,2.78,-51.5,-0.527,19.32,20.88,01a59605o0681o
59605.519029,19.911,0.42,39,16,o,0,0.81,168.55602,11.52671,1118.97,1708.71,2.87,2.72,-48.3,-0.539,19.34,20.89,01a59605o0685o
59605.522712,20.653,0.718,20,14,o,0,1.11,168.55602,11.52671,1181.47,1785.92,2.85,2.69,-56.8,-0.54,19.38,20.89,01a59605o0693o
59605.542575,21.158,2.7,12,34,o,0,1.28,168.55602,11.52671,1204.61,1661.84,2.85,2.72,-47.0,-0.547,18.17,19.34,01a59605o0734o
59606.518441,20.562,0.498,22,11,o,0,1.08,168.55602,11.52671,9905.67,3250.51,2.07,1.9,-49.8,-0.453,19.62,20.76,02a59606o0686o
59606.52027,20.578,0.531,21,11,o,0,1.18,168.55602,11.52671,9924.25,3289.44,2.07,1.93,-50.3,-0.448,19.54,20.76,02a59606o0690o
59606.523012,-21.981,2.35,-6,14,o,0,0.82,168.55602,11.52671,9866.61,3211.79,2.05,1.89,-51.6,-0.447,19.61,20.76,02a59606o0696o
59606.529872,20.173,0.447,31,14,o,0,0.91,168.55602,11.52671,9847.41,3330.8,2.06,1.92,-50.8,-0.446,19.56,20.73,02a59606o0711o
59607.559783,19.697,0.19,48,9,o,0,2.06,168.55602,11.52671,681.76,7311.56,1.98,1.95,-35.7,-0.462,19.59,20.93,02a59607o0782o
59607.563938,22.452,3.111,4,12,o,0,1.55,168.55602,11.52671,664.2,7273.29,2.08,1.99,-45.9,-0.449,19.56,20.93,02a59607o0790o
59607.596326,20.363,0.55,26,14,o,0,0.88,168.55602,11.52671,718.7,7346.53,1.94,1.87,-23.1,-0.464,19.57,20.82,02a59607o0858o
59607.602319,19.799,0.214,44,9,o,0,1.53,168.55602,11.52671,741.66,7231.82,1.94,1.9,-6.3,-0.454,19.55,20.8,02a59607o0871o
59608.560047,25.567,49.0,0,11,o,0,1.57,168.55602,11.52671,3570.65,3132.95,3.2,2.99,-49.2,-0.432,19.29,20.98,01a59608o0774o
59608.595515,20.059,0.404,34,14,o,0,0.82,168.55602,11.52671,3614.19,3174.98,2.87,2.66,-42.7,-0.464,19.39,21.02,01a59608o0849o
59608.600665,20.714,0.659,19,12,o,0,1.11,168.55602,11.52671,3557.96,3097.14,3.19,2.98,-46.6,-0.425,19.3,21.01,01a59608o0860o
59608.603902,19.802,0.288,44,12,o,0,1.32,168.55602,11.52671,3543.6,3214.72,3.03,2.76,-50.7,-0.454,19.38,21.01,01a59608o0867o
