MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59709.494255,20.749,0.901,18,16,o,0,1.51,267.20566,59.50071,8979.41,6673.18,3.09,2.79,36.4,-0.423,19.14,20.34,01a59709o0566o
59709.496094,20.223,0.465,30,14,o,0,1.9,267.20566,59.50071,8961.39,6630.4,3.16,2.81,38.0,-0.417,19.17,20.35,01a59709o0570o
59709.498858,-20.9,1.0,-16,16,o,0,1.76,267.20566,59.50071,9019.0,6711.57,2.96,2.88,50.3,-0.437,19.18,20.37,01a59709o0576o
59709.509416,20.915,0.963,16,15,o,0,1.55,267.20566,59.50071,9036.38,6594.62,2.84,2.77,-70.5,-0.459,19.25,20.48,01a59709o0598o
59711.483675,-22.311,4.077,-4,18,o,0,1.86,267.20566,59.50071,2906.38,7478.97,2.78,2.43,39.7,-0.379,18.85,19.77,02a59711o0536o
59711.485503,-19.858,0.445,-41,18,o,0,1.89,267.20566,59.50071,2925.78,7520.49,2.87,2.37,38.2,-0.365,18.91,19.78,02a59711o0540o
59711.488246,-20.829,1.155,-17,20,o,0,1.37,267.20566,59.50071,2865.19,7440.52,2.96,2.45,40.1,-0.362,18.88,19.79,02a59711o0546o
59711.493309,21.289,1.27,11,14,o,0,2.34,267.20566,59.50071,2847.99,7555.49,2.7,2.26,38.4,-0.382,19.0,19.79,02a59711o0557o
59713.483234,-20.628,1.275,-20,26,o,0,1.28,267.20566,59.50071,1061.13,1041.25,3.32,2.99,49.4,-0.425,18.37,19.4,01a59713o0554o
59713.507076,-19.652,0.448,-50,22,o,0,1.71,267.20566,59.50071,1031.16,1004.22,3.15,3.09,-53.9,-0.5,18.49,19.39,01a59713o0605o
59713.508918,20.445,1.051,24,25,o,0,1.15,267.20566,59.50071,1098.77,1076.78,2.91,2.85,62.1,-0.513,18.55,19.39,01a59713o0609o
59713.511682,21.245,2.8,12,32,o,0,1.33,267.20566,59.50071,1115.55,956.73,3.28,3.24,-35.8,-0.489,18.49,19.39,01a59713o0615o
59715.491135,-22.96,11.696,-2,28,o,0,1.19,267.20566,59.50071,4864.43,1705.28,2.04,1.93,-67.6,-0.448,18.68,18.95,02a59715o0568o
59715.492963,22.114,4.58,5,24,o,0,1.09,267.20566,59.50071,4884.71,1742.04,2.02,1.96,-70.4,-0.444,18.66,18.94,02a59715o0572o
59715.498956,23.569,15.462,1,21,o,0,1.86,267.20566,59.50071,4828.62,1666.69,2.02,1.98,-88.1,-0.44,18.67,18.95,02a59715o0585o
59715.52267,20.275,0.831,28,23,o,0,1.71,267.20566,59.50071,4814.32,1783.56,2.07,2.05,82.8,-0.44,18.7,18.99,02a59715o0636o
59717.4527,19.465,0.506,59,30,o,0,1.3,267.20566,59.50071,1065.08,1044.06,3.99,3.96,75.4,-0.363,18.33,19.47,01a59717o0473o
59717.45454,-20.623,1.706,-20,35,o,0,1.04,267.20566,59.50071,1042.42,1006.11,4.29,4.12,-45.5,-0.388,18.32,19.45,01a59717o0477o
59717.457762,-20.085,0.838,-34,28,o,0,1.08,267.20566,59.50071,1108.31,1077.75,3.5,3.44,-43.4,-0.444,18.45,19.53,01a59717o0484o
59717.46287,-19.631,0.541,-51,28,o,0,1.36,267.20566,59.50071,1125.95,959.29,3.6,3.46,-62.0,-0.453,18.45,19.51,01a59717o0495o
59719.473021,20.976,0.963,15,14,o,0,3.61,267.20566,59.50071,4857.9,1703.71,2.26,1.89,46.1,-0.428,19.13,19.9,02a59719o0359o
59719.474851,19.939,0.406,38,16,o,0,1.29,267.20566,59.50071,4876.07,1742.86,2.38,1.93,45.2,-0.419,19.13,19.91,02a59719o0363o
59719.481292,20.928,0.897,15,14,o,0,3.41,267.20566,59.50071,4822.79,1665.0,2.34,1.89,45.1,-0.423,19.12,19.9,02a59719o0377o
59719.486776,20.5,0.532,23,12,o,0,2.29,267.20566,59.50071,4806.01,1783.08,2.15,1.84,47.8,-0.438,19.14,19.89,02a59719o0389o
59721.513484,19.885,0.412,40,17,o,0,1.34,267.20566,59.50071,5992.94,5728.37,2.73,2.7,3.3,-0.467,19.2,20.4,01a59721o0610o
