MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59704.486472,-18.711,2.594,-119,309,c,0,1.24,244.92992,-0.98346,4840.46,8897.04,2.6,2.31,30.0,-0.395,15.86,17.23,02a59704o0554c
59704.489213,18.201,1.373,190,261,c,0,1.35,244.92992,-0.98346,4822.05,9011.87,2.61,2.3,29.9,-0.389,15.97,17.31,02a59704o0560c
59710.439591,24.403,33.0,1,21,o,0,1.02,244.92992,-0.98346,1303.67,1412.53,2.98,2.74,-25.0,-0.538,19.02,20.12,01a59710o0441o
59710.441432,21.302,1.66,11,18,o,0,1.26,244.92992,-0.98346,1283.53,1373.63,2.93,2.75,-23.7,-0.54,19.07,20.12,01a59710o0445o
59710.444196,22.78,5.867,3,16,o,0,1.26,244.92992,-0.98346,1344.24,1450.71,2.81,2.61,-14.9,-0.538,19.07,20.08,01a59710o0451o
59710.4541,-21.978,3.467,-6,20,o,0,0.76,244.92992,-0.98346,1360.77,1332.72,2.82,2.66,-50.8,-0.559,19.12,20.11,01a59710o0472o
59722.42171,20.047,0.514,35,18,o,0,0.91,244.92992,-0.98346,9580.84,9623.54,3.58,3.2,-0.1,-0.37,19.13,20.57,01a59722o0409o
59722.423555,20.264,0.474,28,14,o,0,1.62,244.92992,-0.98346,9559.55,9582.62,3.06,3.02,64.5,-0.417,19.23,20.57,01a59722o0413o
59722.426317,19.944,0.391,38,15,o,0,1.26,244.92992,-0.98346,9620.99,9659.33,3.07,3.0,-80.8,-0.421,19.23,20.55,01a59722o0419o
59722.434148,20.786,0.847,18,15,o,0,1.06,244.92992,-0.98346,9639.09,9540.38,3.06,2.92,46.2,-0.421,19.24,20.54,01a59722o0436o
59724.407334,19.788,0.211,44,9,c,0,1.18,244.92992,-0.98346,9283.26,964.65,2.43,2.12,-58.6,-0.429,19.63,21.29,02a59724o0371c
59724.409161,19.605,0.186,52,10,c,0,0.92,244.92992,-0.98346,9303.06,1003.27,2.42,2.09,-60.3,-0.433,19.63,21.29,02a59724o0375c
59724.411929,19.518,0.165,57,9,c,0,1.23,244.92992,-0.98346,9244.91,924.92,2.45,2.12,-57.6,-0.431,19.63,21.29,02a59724o0381c
59724.417874,19.588,0.178,53,10,c,0,1.21,244.92992,-0.98346,9226.24,1043.31,2.42,2.1,-60.4,-0.433,19.62,21.28,02a59724o0394c
59726.411364,19.518,0.282,57,16,o,0,0.85,244.92992,-0.98346,9578.18,9621.96,3.01,2.94,36.2,-0.421,19.33,20.71,01a59726o0389o
59726.413207,19.233,0.186,74,14,o,0,0.97,244.92992,-0.98346,9556.65,9581.3,3.25,3.0,2.9,-0.399,19.24,20.72,01a59726o0393o
59726.434565,19.326,0.224,68,15,o,0,0.98,244.92992,-0.98346,9618.76,9652.26,3.13,3.01,39.5,-0.416,19.26,20.7,01a59726o0438o
59726.455723,19.416,0.246,62,15,o,0,1.01,244.92992,-0.98346,875.62,1048.48,2.96,2.76,-28.1,-0.543,19.27,20.73,01a59726o0483o
