MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59708.46428,20.356,0.671,26,18,o,0,1.13,264.07487,40.13781,564.45,10036.23,2.73,2.35,-48.1,-0.556,19.29,20.43,01a59708o0485o
59708.467095,21.423,1.567,10,15,o,0,1.36,264.07487,40.13781,545.41,9996.69,2.61,2.37,-64.9,-0.565,19.25,20.44,01a59708o0491o
59708.468483,-20.521,0.692,-22,16,o,0,1.2,264.07487,40.13781,10151.8,9852.81,2.99,2.82,70.9,-0.412,19.28,20.41,01a59708o0494o
59708.491142,20.122,0.586,32,19,o,0,0.67,264.07487,40.13781,608.33,10071.11,2.78,2.46,-50.7,-0.541,19.32,20.58,01a59708o0540o
59708.493345,-21.044,0.958,-14,13,o,0,1.55,264.07487,40.13781,10137.57,9807.07,3.03,2.89,61.1,-0.399,19.33,20.56,01a59708o0544o
59708.494727,21.206,1.254,12,15,o,0,1.24,264.07487,40.13781,626.08,9950.49,2.85,2.48,-47.1,-0.528,19.32,20.58,01a59708o0547o
59708.495649,-20.538,0.712,-22,16,o,0,1.05,264.07487,40.13781,10196.77,9884.66,3.04,2.93,70.6,-0.393,19.33,20.55,01a59708o0549o
59708.507157,-21.24,1.429,-12,16,o,0,1.12,264.07487,40.13781,10217.54,9765.37,3.15,2.98,53.4,-0.387,19.29,20.52,01a59708o0571o
59709.478599,22.333,3.875,4,16,o,0,1.3,264.07487,40.13781,573.91,10031.66,2.83,2.43,-47.7,-0.545,19.29,20.46,01a59709o0532o
59709.480442,-20.884,1.011,-16,16,o,0,1.09,264.07487,40.13781,555.13,9993.44,2.72,2.44,-60.6,-0.548,19.26,20.46,01a59709o0536o
59709.483669,-24.608,33.667,0,18,o,0,1.04,264.07487,40.13781,613.5,10067.85,2.74,2.44,-72.7,-0.564,19.22,20.48,01a59709o0543o
59709.488732,25.654,87.0,0,17,o,0,0.98,264.07487,40.13781,10163.39,9841.93,3.18,2.78,48.5,-0.406,19.3,20.47,01a59709o0554o
