MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59580.561768,20.235,0.535,29,16,o,0,0.91,179.60472,-14.51981,8780.05,7447.56,2.8,2.74,89.6,-0.454,19.37,20.83,01a59580o0398o
59580.565004,21.997,2.452,6,14,o,0,1.0,179.60472,-14.51981,8760.8,7407.4,2.81,2.73,-72.4,-0.46,19.37,20.85,01a59580o0405o
59580.56963,20.779,0.768,18,14,o,0,1.03,179.60472,-14.51981,8822.73,7482.86,2.81,2.78,-84.3,-0.453,19.37,20.85,01a59580o0415o
59580.57471,-21.93,2.152,-6,13,o,0,1.29,179.60472,-14.51981,8841.66,7364.5,2.81,2.76,-76.1,-0.456,19.34,20.87,01a59580o0426o
59584.54079,-20.97,0.968,-15,14,o,0,1.37,179.60472,-14.51981,723.97,4073.31,3.29,2.92,-50.6,-0.486,19.29,20.98,01a59584o0713o
59584.544013,21.703,1.914,8,14,o,0,1.12,179.60472,-14.51981,704.1,4033.83,3.13,2.8,-45.6,-0.494,19.36,21.0,01a59584o0720o
59584.550009,23.291,8.125,2,14,o,0,1.11,179.60472,-14.51981,765.99,4110.95,3.17,2.88,-50.4,-0.475,19.34,21.03,01a59584o0733o
59584.556941,-20.071,0.461,-34,16,o,0,1.04,179.60472,-14.51981,786.02,3994.21,3.18,2.85,-51.2,-0.487,19.34,21.05,01a59584o0748o
59586.558933,-20.632,0.652,-20,13,c,0,0.94,179.60472,-14.51981,2920.48,8586.18,2.45,2.29,-47.8,-0.421,19.62,21.64,02a59586o0749c
59586.562165,21.436,1.527,10,15,c,0,1.14,179.60472,-14.51981,2939.69,8625.11,2.44,2.26,-48.7,-0.424,19.42,21.41,02a59586o0756c
59586.565371,22.057,2.289,6,12,c,0,0.87,179.60472,-14.51981,2882.08,8547.33,2.37,2.21,-47.8,-0.429,19.6,21.65,02a59586o0763c
59586.571792,20.943,1.029,15,16,c,0,0.67,179.60472,-14.51981,2861.52,8663.72,2.38,2.21,-46.4,-0.424,19.58,21.58,02a59586o0777c
59588.551292,23.94,13.4,1,13,o,0,1.15,179.60472,-14.51981,728.52,4069.82,2.86,2.6,-51.0,-0.523,19.45,21.13,01a59588o0772o
59588.554062,20.14,0.438,32,14,o,0,1.13,179.60472,-14.51981,709.76,4031.65,3.11,2.91,-47.8,-0.491,19.35,21.13,01a59588o0778o
59588.559607,20.266,0.513,28,15,o,0,1.3,179.60472,-14.51981,771.1,4108.32,3.23,3.04,-48.8,-0.484,19.32,21.11,01a59588o0790o
59588.571921,22.623,4.125,3,13,o,0,1.14,179.60472,-14.51981,795.96,3989.64,2.98,2.76,-54.8,-0.5,19.37,21.11,01a59588o0816o
59590.647378,17.364,0.029,412,12,c,0,1.5,179.60472,-14.51981,7647.41,1970.16,2.55,2.4,-75.3,-0.404,19.56,21.6,02a59590o0376c
59590.656924,17.375,0.036,407,14,c,0,0.85,179.60472,-14.51981,7628.99,1931.77,2.64,2.48,-69.2,-0.403,19.52,21.56,02a59590o0396c
59590.660193,17.391,0.032,402,13,c,0,1.41,179.60472,-14.51981,7687.53,2010.73,2.9,2.73,-70.6,-0.392,19.4,21.47,02a59590o0403c
59590.667107,17.373,0.036,408,14,c,0,1.41,179.60472,-14.51981,7707.68,1892.52,2.63,2.46,-75.9,-0.4,19.3,20.94,02a59590o0417c
59591.581644,17.371,0.04,409,16,o,0,0.81,179.60472,-14.51981,747.25,4064.79,2.84,2.64,-46.1,-0.512,19.42,21.04,01a59591o0824o
59591.583488,17.4,0.039,398,16,o,0,1.44,179.60472,-14.51981,727.54,4025.79,2.9,2.71,-48.1,-0.509,19.36,21.04,01a59591o0828o
59591.586712,17.372,0.042,408,17,o,0,1.26,179.60472,-14.51981,789.05,4102.58,3.09,2.76,-50.7,-0.5,19.39,21.05,01a59591o0835o
59591.591779,17.451,0.046,380,17,o,0,1.14,179.60472,-14.51981,807.05,3984.53,3.09,2.85,-54.2,-0.502,19.35,21.06,01a59591o0846o
59592.579038,17.241,0.033,461,15,o,0,1.35,179.60472,-14.51981,869.21,6002.74,3.14,2.87,-53.2,-0.46,19.28,20.87,01a59592o0813o
59592.585819,17.305,0.036,434,16,o,0,1.37,179.60472,-14.51981,852.36,5962.79,3.16,2.9,-53.0,-0.454,19.25,20.91,01a59592o0827o
59592.58905,17.34,0.039,421,16,o,0,1.06,179.60472,-14.51981,913.2,6040.07,3.21,2.98,-54.0,-0.453,19.25,20.92,01a59592o0834o
59592.59412,17.18,0.035,488,17,o,0,1.26,179.60472,-14.51981,932.45,5923.09,3.41,3.15,-52.0,-0.433,19.17,20.92,01a59592o0845o
59595.57586,16.991,0.044,580,26,o,0,0.96,179.60472,-14.51981,876.48,6003.32,2.85,2.56,-51.1,-0.493,18.81,19.63,01a59595o0829o
59595.577703,17.116,0.042,517,22,o,0,1.68,179.60472,-14.51981,856.67,5963.94,2.84,2.54,-50.9,-0.5,18.81,19.64,01a59595o0833o
59595.584585,17.172,0.048,491,24,o,0,1.58,179.60472,-14.51981,921.67,6039.88,2.88,2.58,-47.1,-0.497,18.77,19.65,01a59595o0847o
59595.591555,17.093,0.05,528,26,o,0,1.1,179.60472,-14.51981,941.5,5922.91,2.79,2.58,-54.8,-0.493,18.79,19.66,01a59595o0862o
59596.503693,16.989,0.062,581,36,o,0,1.26,179.60472,-14.51981,848.52,6008.46,3.09,2.76,-53.4,-0.469,18.55,19.28,01a59596o0672o
59596.507385,17.133,0.074,509,38,o,0,1.26,179.60472,-14.51981,829.27,5969.3,3.0,2.63,-51.3,-0.482,18.58,19.3,01a59596o0680o
59596.513304,17.013,0.059,569,34,o,0,1.21,179.60472,-14.51981,893.14,6048.15,2.9,2.55,-50.7,-0.497,18.63,19.32,01a59596o0692o
59596.518389,17.043,0.07,553,39,o,0,1.0,179.60472,-14.51981,911.51,5929.41,2.91,2.65,-49.9,-0.485,18.61,19.34,01a59596o0703o
59599.553675,17.094,0.068,528,36,o,0,1.23,179.60472,-14.51981,873.65,6002.78,2.94,2.64,-52.0,-0.491,18.56,19.3,01a59599o0779o
59599.556918,17.124,0.078,513,40,o,0,0.92,179.60472,-14.51981,855.25,5963.74,2.97,2.69,-47.7,-0.482,18.54,19.31,01a59599o0786o
59599.559688,17.067,0.078,541,42,o,0,0.98,179.60472,-14.51981,914.44,6040.86,3.22,2.98,-54.1,-0.466,18.48,19.31,01a59599o0792o
59599.573424,17.057,0.069,546,38,o,0,1.07,179.60472,-14.51981,938.91,5922.43,2.76,2.66,-42.7,-0.484,18.58,19.35,01a59599o0821o
59604.539746,17.12,0.038,515,20,o,0,0.96,179.60472,-14.51981,5651.53,2063.7,2.92,2.79,-30.6,-0.465,19.11,20.37,01a59604o0737o
59604.547135,17.075,0.036,537,19,o,0,1.0,179.60472,-14.51981,5636.58,2025.37,3.03,2.88,-57.7,-0.454,19.05,20.39,01a59604o0753o
59604.5572,17.126,0.036,513,19,o,0,1.06,179.60472,-14.51981,5696.23,2098.59,2.71,2.61,-46.0,-0.497,19.21,20.39,01a59604o0774o
59604.559992,17.152,0.038,500,19,o,0,1.18,179.60472,-14.51981,5714.28,1980.87,2.73,2.61,-46.8,-0.493,19.17,20.41,01a59604o0780o
59605.546741,17.136,0.043,508,22,o,0,0.91,179.60472,-14.51981,5654.02,2063.63,3.03,2.86,-14.4,-0.449,19.08,20.58,01a59605o0743o
59605.550444,17.11,0.031,520,16,o,0,1.52,179.60472,-14.51981,5635.25,2024.21,3.17,2.95,-1.6,-0.428,19.17,20.67,01a59605o0751o
59605.553217,17.086,0.034,532,18,o,0,1.16,179.60472,-14.51981,5693.1,2098.08,3.08,2.88,-9.6,-0.445,19.19,20.66,01a59605o0757o
59605.567452,17.11,0.034,520,18,o,0,0.99,179.60472,-14.51981,5716.35,1980.12,2.88,2.79,-46.1,-0.47,19.22,20.62,01a59605o0787o
59605.670777,17.109,0.072,520,37,o,0,0.99,179.60472,-14.51981,4897.24,8547.38,3.24,2.94,52.0,-0.402,18.53,19.34,01a59605o1004o
59606.589572,17.116,0.032,517,16,o,0,1.33,179.60472,-14.51981,4857.36,7678.38,2.37,2.04,39.5,-0.425,19.39,20.53,02a59606o0838o
59606.592811,17.068,0.029,540,16,o,0,1.19,179.60472,-14.51981,4841.35,7640.88,2.36,2.03,43.0,-0.425,19.42,20.51,02a59606o0845o
59606.627506,17.061,0.033,544,18,o,0,0.83,179.60472,-14.51981,4894.8,7717.18,2.3,1.98,42.6,-0.43,19.45,20.56,02a59606o0920o
59606.644275,17.047,0.028,551,15,o,0,1.39,179.60472,-14.51981,4915.93,7602.02,2.34,2.04,45.5,-0.426,19.45,20.6,02a59606o0955o
59607.553531,17.106,0.024,522,13,o,0,2.29,179.60472,-14.51981,5720.12,2870.0,2.01,1.82,31.7,-0.454,19.64,20.92,02a59607o0769o
