MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59585.508663,20.824,0.695,17,12,c,0,1.83,112.03582,-35.91725,5572.19,4794.34,2.9,2.64,49.0,-0.396,19.24,21.11,02a59585o0539c
59585.512324,22.384,3.143,4,13,c,0,1.67,112.03582,-35.91725,5552.44,4758.56,2.84,2.5,48.2,-0.394,19.32,21.09,02a59585o0547c
59585.517832,-20.606,0.667,-21,14,c,0,0.88,112.03582,-35.91725,5610.77,4834.7,2.61,2.46,62.9,-0.403,19.28,21.07,02a59585o0559c
59585.530652,-20.417,0.54,-25,13,c,0,1.14,112.03582,-35.91725,5630.97,4720.61,2.63,2.42,55.6,-0.406,19.36,21.08,02a59585o0587c
59589.4961,17.145,1.14,504,574,c,0,1.34,112.03582,-35.91725,3450.28,1225.91,2.99,2.61,90.0,-0.413,15.21,17.25,02a59589o0458c
59589.507587,-18.094,1.196,-210,251,c,0,1.75,112.03582,-35.91725,3470.66,1108.91,2.73,2.4,-79.8,-0.449,15.99,17.83,02a59589o0483c
59591.405922,19.18,0.301,77,23,o,0,1.11,112.03582,-35.91725,4547.29,3254.23,3.23,3.13,63.8,-0.426,18.7,19.85,01a59591o0448o
59591.407763,18.527,0.161,141,23,o,0,0.93,112.03582,-35.91725,4524.02,3215.12,3.17,3.09,-82.3,-0.433,18.75,19.84,01a59591o0452o
59591.410527,19.08,0.306,85,26,o,0,1.03,112.03582,-35.91725,4584.55,3291.92,3.48,3.42,-80.0,-0.418,18.61,19.84,01a59591o0458o
59591.416106,18.978,0.237,93,22,o,0,0.96,112.03582,-35.91725,4603.33,3175.31,3.12,3.02,-66.3,-0.433,18.73,19.87,01a59591o0470o
59595.457865,17.701,0.13,302,39,o,0,1.53,112.03582,-35.91725,2788.89,5479.0,2.95,2.91,-63.9,-0.446,18.39,19.04,01a59595o0576o
59595.461103,17.767,0.158,284,45,o,0,1.03,112.03582,-35.91725,2811.26,5516.78,3.02,2.97,-47.7,-0.434,18.36,19.03,01a59595o0583o
59595.466676,17.657,0.134,314,42,o,0,1.21,112.03582,-35.91725,2754.37,5441.26,3.04,2.97,-58.0,-0.439,18.37,19.01,01a59595o0595o
59595.499271,17.579,0.163,338,55,o,0,0.94,112.03582,-35.91725,2753.28,5562.88,3.01,2.93,-72.8,-0.44,18.25,18.89,01a59595o0665o
59599.446861,17.186,0.077,485,37,o,0,1.12,112.03582,-35.91725,2789.14,5480.45,2.92,2.75,-42.5,-0.47,18.53,19.31,01a59599o0550o
59599.450086,17.17,0.075,492,37,o,0,1.12,112.03582,-35.91725,2811.92,5518.34,3.03,2.99,-71.8,-0.447,18.45,19.3,01a59599o0557o
59599.473636,17.124,0.073,514,37,o,0,1.29,112.03582,-35.91725,2759.8,5444.71,3.25,2.92,-47.4,-0.449,18.4,19.25,01a59599o0607o
59599.479171,17.209,0.09,475,43,o,0,0.9,112.03582,-35.91725,2748.4,5561.32,3.11,2.92,-44.8,-0.449,18.45,19.24,01a59599o0619o
59601.429519,16.993,0.046,579,26,o,0,1.48,112.03582,-35.91725,9807.37,6964.19,2.9,2.53,-68.0,-0.436,18.77,19.53,02a59601o0401o
59601.432719,17.149,0.057,502,29,o,0,1.22,112.03582,-35.91725,9788.2,6928.73,3.04,2.62,-66.1,-0.424,18.7,19.56,02a59601o0408o
59601.438211,17.034,0.045,558,25,o,0,1.51,112.03582,-35.91725,9848.23,7003.07,2.78,2.36,-62.2,-0.441,18.86,19.56,02a59601o0420o
59601.448741,17.13,0.056,510,29,o,0,1.22,112.03582,-35.91725,9870.5,6889.81,3.13,2.7,-67.2,-0.418,18.7,19.53,02a59601o0443o
59603.402188,16.991,0.031,580,18,o,0,1.47,112.03582,-35.91725,9103.22,9256.11,3.25,2.91,-58.8,-0.425,19.22,20.84,01a59603o0417o
59603.40633,16.965,0.033,594,20,o,0,1.15,112.03582,-35.91725,9125.86,9295.48,3.14,2.87,-62.7,-0.428,19.21,20.77,01a59603o0426o
59603.411861,16.995,0.029,578,17,o,0,1.82,112.03582,-35.91725,9070.09,9217.09,3.19,2.91,-59.5,-0.421,19.19,20.68,01a59603o0438o
59603.426662,17.077,0.037,536,20,o,0,1.34,112.03582,-35.91725,9061.62,9336.47,3.3,3.0,-57.9,-0.42,19.1,20.54,01a59603o0470o
